,0,1,2,3,4,5,6
87,74.0,Попов Вячеслав Михайлович,13-12-1982,Мартынова Полина Ивановна,20-06-1988,17-08-2018,92
88,62.0,Соловьев Илья Денисович,19-10-1995,Самойлова Дарина Кирилловна,29-12-1985,03-07-2023,94
89,19.0,Шестаков Константин Степанович,11-07-1993,Трофимова Ангелина Матвеевна,31-12-1998,14-05-2020,94
90,29.0,Герасимов Давид Петрович,03-12-1985,Казакова Арина Александровна,15-08-1994,12-04-2023,97
91,32.0,Дегтярев Илья Тимофеевич,18-09-1987,Панина Таисия Денисовна,09-03-1991,26-04-2020,97
92,21.0,Левин Артемий Степанович,27-12-1991,Смирнова Стефания Всеволодовна,12-07-1994,20-02-2018,97
93,28.0,Егоров Максим Даниилович,15-09-1997,Васильева Анна Сергеевна,31-08-1998,06-05-2020,98
94,50.0,Сорокин Артём Даниилович,14-03-1989,Борисова София Фёдоровна,18-05-1989,25-12-2019,98
95,37.0,Власов Андрей Семёнович,16-09-1980,Семенова Анна Кирилловна,03-08-1995,01-05-2020,99
96,64.0,Попов Вячеслав Михайлович,26-09-1986,Назарова Вероника Платоновна,19-02-1995,31-01-2018,99
97,9.0,Казанцев Марк Назарович,12-02-1990,Петровская Амира Тимофеевна,30-11-1989,09-03-2021,100
98,71.0,Фомин Лев Александрович,05-08-1987,Козлова Ясмина Михайловна,26-10-1991,10-04-2019,100
99,76.0,Шестаков Константин Степанович,20-05-1983,Лебедева Мария Егоровна,02-12-1998,26-01-2019,100
