,0,1,2,3,4,5,6
53,6168.0,Винокуров Степан Николаевич,23-11-1993,Зайцева Виктория Никитична,16-12-1996,17-09-2023,53
54,9725.0,Дегтярев Илья Тимофеевич,01-08-1982,Попова Вера Ивановна,23-11-1988,19-10-2022,53
55,739.0,Смирнов Дамир Даниилович,23-04-1985,Трофимова Ангелина Матвеевна,18-05-1983,20-09-2022,53
56,8095.0,Овчинников Владимир Алексеевич,29-01-1991,Васильева Полина Михайловна,25-10-1995,06-07-2019,58
57,1403.0,Хромов Кирилл Александрович,16-02-1982,Борисова Вероника Савельевна,10-12-1984,29-06-2022,61
58,8140.0,Винокуров Степан Николаевич,18-11-1990,Маркова Мария Леоновна,29-01-1985,04-08-2023,62
59,4206.0,Новиков Виктор Маркович,09-08-1996,Вавилова Маргарита Никитична,15-06-1985,16-02-2022,62
60,9693.0,Верещагин Даниил Демидович,29-10-1991,Борисова Вероника Савельевна,03-08-1995,30-06-2022,63
61,6258.0,Осипов Дмитрий Платонович,02-08-1982,Комарова Мария Михайловна,14-06-1991,29-10-2019,64
62,6609.0,Корчагин Даниил Борисович,09-10-1982,Николаева Алиса Григорьевна,26-11-1988,25-04-2019,65
63,9598.0,Лебедев Тимур Максимович,07-09-1993,Богомолова Лидия Вячеславовна,20-09-1989,31-03-2023,66
64,4181.0,Жуков Андрей Петрович,27-08-1988,Головина Анисия Михайловна,07-04-1995,26-01-2020,67
65,5133.0,Макаров Тимур Артёмович,08-02-1993,Емельянова Арина Артёмовна,17-07-1988,30-04-2019,67
66,646.0,Поликарпов Даниил Петрович,19-11-1988,Петрова Аделина Данииловна,05-04-1995,29-07-2021,67
67,2234.0,Воробьев Савва Павлович,20-12-1990,Богомолова Лидия Вячеславовна,05-06-1998,28-10-2020,68
68,9843.0,Титов Артур Артёмович,22-03-1997,Самсонова Виктория Степановна,06-05-1990,29-08-2023,69
69,8815.0,Дегтярев Илья Тимофеевич,25-05-1981,Смирнова Ясмина Ивановна,28-09-1985,26-07-2019,71
70,1034.0,Иванов Владимир Владиславович,11-01-1988,Кочеткова Полина Робертовна,28-11-1999,30-11-2022,73
71,2495.0,Хромов Кирилл Александрович,02-06-1991,Смирнова Ясмина Ивановна,23-11-1982,17-11-2019,73
72,3678.0,Жуков Андрей Петрович,26-10-1986,Петровская Амира Тимофеевна,08-04-1984,22-04-2022,74
73,6340.0,Муратов Вячеслав Дмитриевич,27-10-1994,Климова Александра Артемьевна,21-01-1991,04-04-2022,77
74,1690.0,Жуков Андрей Петрович,30-01-1990,Петрова Юлия Никитична,21-01-1990,07-05-2023,79
75,3257.0,Смирнов Лев Михайлович,22-06-1984,Савельева София Мироновна,22-05-1992,18-11-2022,79
76,5857.0,Белов Евгений Артёмович,04-10-1995,Старостина Ульяна Даниэльевна,10-04-1989,22-01-2018,80
77,9576.0,Герасимов Давид Петрович,13-07-1986,Назарова Ульяна Арсеновна,07-11-1989,28-04-2023,80
78,5682.0,Горшков Егор Артёмович,18-09-1998,Зайцева Ксения Артемьевна,04-06-1981,01-02-2022,82
79,1348.0,Попов Вячеслав Михайлович,02-02-1983,Морозова Дарина Артёмовна,03-02-1997,01-12-2021,84
80,3246.0,Макаров Тимур Артёмович,26-03-1995,Козлова Ясмина Михайловна,06-07-1999,30-07-2018,85
81,2926.0,Власов Андрей Семёнович,25-05-1989,Алексеева Ульяна Тимофеевна,24-11-1990,30-03-2019,86
82,7576.0,Герасимов Давид Петрович,11-07-1980,Савельева София Мироновна,09-07-1988,23-08-2021,87
83,3260.0,Марков Максим Александрович,28-04-1984,Самойлова Дарина Кирилловна,21-04-1997,10-04-2019,87
84,2321.0,Овчинников Владимир Алексеевич,19-06-1984,Михайлова София Алексеевна,19-03-1983,04-11-2021,88
85,329.0,Горшков Егор Артёмович,09-11-1987,Колосова Виктория Дмитриевна,21-05-1996,25-08-2021,90
86,8661.0,Медведев Артём Ярославович,22-07-1988,Лаврентьева Таисия Артёмовна,04-12-1982,03-01-2019,90
87,4497.0,Смирнов Матвей Максимович,20-11-1986,Алексеева Арина Матвеевна,04-08-1986,31-01-2019,90
88,4198.0,Казанцев Марк Назарович,24-08-1986,Маркова Мария Леоновна,18-07-1981,25-10-2023,91
89,9550.0,Муратов Вячеслав Дмитриевич,18-11-1995,Макарова София Тимофеевна,25-07-1988,20-02-2023,92
90,3933.0,Родионов Михаил Дмитриевич,05-01-1997,Морозова Ева Данииловна,30-04-1983,30-03-2019,92
91,7001.0,Смирнов Степан Константинович,01-06-1999,Борисова Вероника Савельевна,11-08-1989,01-02-2019,93
92,6907.0,Иванов Иван Макарович,21-04-1988,Лукина Арина Кирилловна,30-08-1997,12-04-2020,97
93,3781.0,Круглов Роман Максимович,29-08-1990,Петровская Амира Тимофеевна,23-07-1994,15-04-2018,97
94,4746.0,Герасимов Давид Петрович,08-08-1997,Нечаева Алёна Александровна,26-11-1985,22-06-2018,101
95,7145.0,Казаков Марк Михайлович,21-04-1999,Васильева Полина Михайловна,31-03-1984,19-11-2021,101
96,3459.0,Новиков Андрей Денисович,08-09-1993,Павлова Александра Ярославовна,29-05-1997,25-10-2019,101
97,475.0,Макаров Давид Артурович,26-03-1980,Григорьева Ксения Данииловна,03-08-1987,30-03-2020,103
98,3251.0,Данилов Владимир Егорович,11-09-1986,Колосова Виктория Дмитриевна,16-01-1998,22-06-2021,104
99,7395.0,Дегтярев Илья Тимофеевич,29-03-1983,Смирнова Дарья Леонидовна,30-11-1996,01-11-2018,108
100,36.0,Иванов Владимир Владиславович,23-12-1997,Рябова Елизавета Владимировна,13-09-1988,01-03-2018,108
101,1363.0,Корнилов Олег Вадимович,11-03-1999,Колесникова Злата Никитична,01-07-1993,11-10-2022,110
102,926.0,Осипов Максим Максимович,02-11-1981,Попова Вера Ивановна,29-01-1994,09-11-2020,110
103,4251.0,Петров Матвей Юрьевич,03-03-1999,Колосова Виктория Дмитриевна,05-02-1999,26-01-2019,112
104,8271.0,Смирнов Степан Константинович,05-04-1988,Нечаева Алёна Александровна,17-07-1987,01-11-2020,113
105,3680.0,Сергеев Андрей Иванович,31-10-1984,Назарова Ульяна Арсеновна,27-05-1992,18-09-2018,114
106,4522.0,Верещагин Даниил Демидович,01-08-1996,Вавилова Маргарита Никитична,21-11-1987,16-10-2021,117
107,7478.0,Герасимов Давид Петрович,14-03-1993,Толкачева Софья Ивановна,31-05-1987,11-07-2021,117
108,5603.0,Медведев Александр Платонович,22-12-1995,Ермакова Анастасия Павловна,06-02-1983,06-05-2019,117
109,9229.0,Попов Вячеслав Михайлович,26-12-1998,Кудряшова Полина Алиевна,27-10-1986,10-04-2022,117
110,3261.0,Иванов Даниил Сергеевич,17-02-1997,Дроздова Марина Михайловна,24-01-1981,05-01-2021,121
111,5359.0,Корнилов Олег Вадимович,20-06-1983,Борисова София Фёдоровна,06-10-1980,17-06-2018,121
112,4677.0,Кузнецов Михаил Демидович,01-01-1994,Дроздова Марина Михайловна,13-11-1998,09-01-2020,122
113,3346.0,Белов Евгений Артёмович,14-05-1996,Лобанова Полина Андреевна,30-03-1998,27-11-2022,125
114,979.0,Волков Герман Степанович,15-04-1983,Зайцева Ксения Артемьевна,13-10-1980,20-04-2021,128
115,8626.0,Горбачев Александр Тихонович,06-06-1987,Иванова Дарья Сергеевна,18-12-1988,14-01-2019,128
116,9587.0,Горшков Егор Артёмович,17-02-1984,Павлова Александра Ярославовна,26-07-1995,25-08-2022,128
117,7555.0,Сорокин Артём Даниилович,03-04-1991,Толкачева Софья Ивановна,03-10-1985,06-07-2019,128
118,9818.0,Ефремов Дмитрий Всеволодович,22-12-1984,Дубова Ксения Алексеевна,11-10-1986,03-06-2020,129
119,5627.0,Волков Герман Степанович,07-04-1993,Петрова Аделина Данииловна,23-05-1997,29-09-2021,131
120,7147.0,Иванов Даниил Сергеевич,20-02-1992,Самсонова Виктория Степановна,10-07-1983,03-07-2020,131
121,106.0,Смирнов Дамир Даниилович,24-08-1989,Михайлова София Алексеевна,24-04-1993,06-06-2022,132
122,1366.0,Медведев Артём Ярославович,29-06-1995,Лобанова Полина Андреевна,24-01-1982,08-12-2023,135
123,9365.0,Поликарпов Даниил Петрович,27-10-1998,Морозова Дарина Артёмовна,30-11-1997,18-06-2019,136
124,9648.0,Суворов Матвей Богданович,06-07-1986,Ершова София Максимовна,27-12-1994,07-09-2021,140
125,7187.0,Ширяев Кирилл Ильич,22-10-1997,Алексеева Ульяна Тимофеевна,22-11-1992,03-09-2020,141
126,6392.0,Белоусов Фёдор Даниилович,19-03-1993,Борисова Вероника Савельевна,14-12-1986,14-12-2023,142
127,2232.0,Левин Артемий Степанович,16-10-1986,Суворова Стефания Артёмовна,05-10-1991,14-04-2020,142
128,6071.0,Медведев Артём Ярославович,30-03-1983,Самсонова Виктория Степановна,07-08-1994,15-06-2020,142
129,5588.0,Круглов Роман Максимович,22-07-1992,Кузнецова Ксения Вячеславовна,17-06-1984,05-07-2022,143
130,173.0,Смирнов Степан Константинович,12-11-1984,Маркова Мария Леоновна,22-03-1999,27-02-2019,143
131,8306.0,Хромов Кирилл Александрович,30-04-1996,Львова Дарина Марковна,26-11-1983,23-05-2022,143
132,6506.0,Медведев Александр Платонович,23-03-1995,Львова Дарина Марковна,25-04-1985,27-03-2023,144
133,2784.0,Васильев Павел Артёмович,21-07-1984,Трофимова Ангелина Матвеевна,21-03-1982,11-11-2023,146
134,6309.0,Васильев Павел Артёмович,08-09-1981,Алексеева Арина Матвеевна,05-05-1990,16-06-2021,147
135,3941.0,Гусев Богдан Александрович,27-01-1980,Смирнова Екатерина Михайловна,03-07-1985,28-05-2022,148
136,2094.0,Казаков Марк Михайлович,07-11-1997,Хромова Варвара Леоновна,17-12-1988,27-09-2018,148
137,6400.0,Молчанов Иван Максимович,15-08-1990,Кузина Полина Ильинична,13-07-1989,15-09-2022,148
138,8676.0,Васильев Егор Тимофеевич,18-05-1992,Емельянова Арина Артёмовна,12-08-1991,16-08-2020,149
139,2555.0,Дмитриев Тимофей Михайлович,26-09-1984,Колосова Виктория Дмитриевна,01-02-1982,07-08-2022,150
140,2896.0,Макаров Тимур Артёмович,17-11-1992,Ермакова Анастасия Павловна,19-05-1994,20-02-2018,150
141,1926.0,Муравьев Тимур Андреевич,27-05-1991,Савельева София Мироновна,16-07-1984,15-12-2022,150
142,7680.0,Елисеев Денис Никитич,28-06-1981,Старостина Ульяна Даниэльевна,07-07-1988,30-01-2020,151
143,5977.0,Новиков Виктор Маркович,25-12-1981,Смирнова Екатерина Михайловна,05-05-1980,19-02-2021,152
144,1455.0,Осипов Дмитрий Платонович,18-01-1996,Добрынина Милана Данииловна,09-12-1985,27-12-2018,152
145,8493.0,Марков Максим Александрович,14-02-1996,Антипова София Игоревна,12-07-1993,21-09-2021,153
146,4521.0,Титов Артур Артёмович,09-07-1986,Смирнова Екатерина Михайловна,22-03-1998,30-10-2019,153
147,8595.0,Иванов Иван Макарович,22-01-1994,Пахомова Майя Никитична,13-03-1998,21-04-2023,154
148,9051.0,Аникин Фёдор Степанович,25-01-1994,Смирнова Ясмина Ивановна,20-03-1982,01-06-2021,155
149,5507.0,Корнилов Олег Вадимович,03-05-1990,Кошелева Эмилия Максимовна,19-09-1992,17-12-2021,155
150,9217.0,Жуков Андрей Петрович,19-06-1980,Ершова София Максимовна,21-10-1998,09-06-2020,158
151,6484.0,Казанцев Марк Назарович,04-08-1981,Петровская Амира Тимофеевна,11-05-1980,17-09-2019,159
152,3891.0,Новиков Виктор Маркович,10-04-1983,Назарова Вероника Платоновна,03-05-1986,10-08-2023,160
153,9750.0,Колесов Адам Петрович,05-02-1993,Климова Александра Артемьевна,16-04-1981,17-05-2021,161
154,8463.0,Новиков Виктор Маркович,25-09-1988,Климова Александра Артемьевна,28-07-1992,03-03-2021,161
155,3063.0,Волков Герман Степанович,27-05-1981,Хромова Варвара Леоновна,01-10-1989,13-10-2020,164
156,7065.0,Гусев Станислав Викторович,01-03-1983,Толкачева Софья Ивановна,21-09-1995,02-03-2019,164
157,6185.0,Новиков Андрей Денисович,02-10-1990,Смирнова Екатерина Михайловна,22-05-1989,31-07-2019,164
158,6462.0,Михайлов Артём Андреевич,23-04-1990,Емельянова Арина Артёмовна,16-04-1997,04-08-2018,165
159,392.0,Филатов Лука Андреевич,19-11-1998,Назарова Ульяна Арсеновна,08-12-1997,11-05-2020,165
160,8771.0,Осипов Максим Максимович,11-09-1984,Климова Александра Артемьевна,20-05-1992,23-02-2021,166
161,4547.0,Сергеев Андрей Иванович,20-05-1986,Григорьева Алиса Марковна,27-11-1993,14-03-2022,166
162,4625.0,Мельников Арсений Данилович,09-10-1980,Седова София Игоревна,08-03-1981,12-07-2019,168
163,9166.0,Казаков Марк Михайлович,22-08-1980,Вишневская Алисия Андреевна,21-10-1992,09-06-2023,171
164,2336.0,Попов Степан Кириллович,08-06-1993,Смирнова Варвара Борисовна,24-01-1993,14-09-2022,173
165,2166.0,Белоусов Фёдор Даниилович,11-11-1990,Лебедева Мария Егоровна,22-03-1990,02-12-2023,174
166,7043.0,Иванов Даниил Сергеевич,30-11-1983,Петровская Ева Егоровна,01-05-1982,22-05-2020,175
167,2681.0,Попов Степан Кириллович,13-03-1988,Колосова Виктория Дмитриевна,28-10-1982,06-04-2023,177
168,4637.0,Смирнов Матвей Максимович,01-03-1997,Емельянова Арина Артёмовна,08-02-1995,19-08-2020,179
169,1249.0,Иванов Иван Макарович,13-11-1983,Ершова София Максимовна,25-04-1997,18-10-2020,180
170,3924.0,Кузнецов Михаил Демидович,29-06-1990,Назарова Вероника Платоновна,20-03-1983,16-10-2023,180
171,7477.0,Молчанов Иван Максимович,11-08-1993,Михеева Аделина Елисеевна,02-01-1994,04-08-2018,180
172,7442.0,Герасимов Давид Петрович,19-04-1995,Дементьева Екатерина Никитична,06-05-1987,13-07-2021,182
173,4599.0,Дубинин Мирон Егорович,28-08-1984,Комарова Мария Михайловна,18-07-1999,16-05-2023,182
174,8695.0,Степанов Андрей Григорьевич,27-07-1986,Козлова Мария Алексеевна,08-08-1991,24-06-2019,183
175,5958.0,Фетисов Кирилл Артемьевич,27-01-1992,Кузина Полина Ильинична,29-03-1998,17-04-2018,183
176,6718.0,Фетисов Кирилл Артемьевич,24-06-1993,Козлова Ясмина Михайловна,24-02-1999,31-05-2023,183
177,4838.0,Верещагин Даниил Демидович,12-02-1992,Андреева Варвара Арсентьевна,25-01-1995,13-10-2021,185
178,1203.0,Власов Андрей Семёнович,18-08-1989,Кудряшова Полина Алиевна,12-03-1990,13-10-2021,185
179,8923.0,Левин Артемий Степанович,21-09-1987,Андреева Варвара Арсентьевна,17-07-1983,15-11-2021,185
180,1120.0,Кочетков Андрей Леонидович,10-09-1999,Григорьева Алиса Марковна,07-01-1981,12-08-2020,186
181,1055.0,Иванов Михаил Сергеевич,05-05-1983,Лаврентьева Таисия Артёмовна,08-04-1985,27-05-2022,187
182,408.0,Шестаков Константин Степанович,29-05-1999,Козлова Ясмина Михайловна,24-12-1984,23-06-2022,187
183,6408.0,Попов Степан Кириллович,28-03-1996,Козлова Ясмина Михайловна,24-01-1996,14-08-2018,188
184,8068.0,Фомин Лев Александрович,22-09-1980,Медведева София Ильинична,12-07-1983,16-06-2023,188
185,369.0,Егоров Максим Даниилович,12-04-1983,Трофимова Ангелина Матвеевна,01-02-1998,07-05-2023,189
186,3840.0,Беляков Матвей Егорович,28-01-1980,Зайцева Вероника Саввична,27-04-1993,06-04-2020,193
187,7954.0,Васильев Павел Артёмович,24-11-1987,Назарова Ульяна Арсеновна,10-09-1985,04-04-2020,193
188,2995.0,Казанцев Марк Назарович,07-04-1997,Алексеева Арина Матвеевна,18-08-1986,05-03-2021,193
189,870.0,Давыдов Иван Матвеевич,10-02-1992,Кузнецова Ксения Вячеславовна,17-01-1991,09-08-2023,194
190,9932.0,Казаков Марк Михайлович,28-08-1985,Кононова Алина Георгиевна,16-05-1981,27-02-2022,194
191,1304.0,Муравьев Тимур Андреевич,17-02-1988,Лебедева Мария Егоровна,19-08-1980,16-04-2018,195
192,6852.0,Фомин Лев Александрович,27-10-1996,Павловская Вероника Владимировна,23-04-1987,27-11-2021,195
193,3950.0,Корнилов Олег Вадимович,23-07-1995,Петровская Амира Тимофеевна,15-05-1986,31-10-2021,198
194,5204.0,Горшков Егор Артёмович,08-11-1980,Львова Дарина Марковна,20-12-1997,27-04-2018,199
195,763.0,Макаров Давид Артурович,20-03-1997,Дубова Ксения Алексеевна,11-12-1996,15-12-2018,199
196,238.0,Власов Денис Степанович,31-07-1984,Ильина Вероника Олеговна,03-09-1993,07-03-2022,200
197,9288.0,Мельников Арсений Данилович,29-02-1992,Борисова Вероника Савельевна,13-02-1997,27-07-2022,200
198,8404.0,Новиков Виктор Маркович,03-06-1998,Козлова Ясмина Михайловна,08-03-1985,08-03-2021,200
199,5213.0,Гусев Станислав Викторович,30-07-1999,Вавилова Маргарита Никитична,01-01-1991,12-10-2021,201
200,8598.0,Кузнецов Михаил Демидович,29-04-1982,Емельянова Арина Артёмовна,24-01-1988,25-07-2019,201
201,8697.0,Аникин Фёдор Степанович,27-07-1988,Толкачева Софья Ивановна,27-04-1980,09-07-2021,202
202,3823.0,Смирнов Дамир Даниилович,31-12-1983,Дубова Ксения Алексеевна,22-06-1983,20-11-2020,202
203,8589.0,Муратов Вячеслав Дмитриевич,05-06-1988,Зайцева Ксения Артемьевна,16-04-1980,12-07-2020,203
204,9055.0,Осипов Максим Максимович,17-09-1996,Павлова Александра Ярославовна,26-07-1987,11-03-2020,203
205,7671.0,Хромов Кирилл Александрович,14-07-1993,Петрова Юлия Никитична,27-03-1984,15-01-2019,204
206,4126.0,Казанцев Марк Назарович,06-11-1993,Дубова Ксения Алексеевна,26-03-1988,18-12-2020,205
207,5182.0,Новиков Андрей Денисович,15-05-1993,Козлова Мария Алексеевна,01-05-1984,18-09-2020,207
208,8314.0,Симонов Савва Дмитриевич,12-03-1980,Кузина Полина Ильинична,15-03-1983,20-02-2020,207
209,4197.0,Филатов Лука Андреевич,02-07-1984,Маркова Мария Леоновна,18-10-1991,16-08-2023,207
210,67.0,Пименов Демид Валерьевич,26-12-1984,Крылова Елизавета Владиславовна,10-12-1997,03-12-2020,208
211,7473.0,Шестаков Константин Степанович,09-08-1980,Иванова Алиса Тихоновна,06-08-1993,11-02-2023,208
212,5710.0,Миронов Фёдор Григорьевич,13-09-1996,Медведева София Ильинична,30-05-1995,14-04-2022,210
213,3287.0,Горбачев Александр Тихонович,19-09-1996,Савельева София Мироновна,22-07-1993,23-12-2022,212
214,478.0,Воронин Савелий Иванович,17-08-1988,Маркова Мария Леоновна,13-07-1984,19-03-2023,213
215,5758.0,Данилов Владимир Егорович,23-01-1980,Самойлова Дарина Кирилловна,27-05-1989,06-01-2020,214
216,1497.0,Мельников Арсений Данилович,06-04-1995,Латышева Злата Михайловна,23-08-1998,24-03-2020,214
217,4019.0,Круглов Роман Максимович,20-08-1987,Дроздова Марина Михайловна,17-08-1996,01-02-2018,215
218,701.0,Суворов Матвей Богданович,30-05-1998,Назарова Ульяна Арсеновна,08-04-1981,31-01-2019,215
219,9173.0,Гусев Станислав Викторович,01-03-1980,Вишневская Алисия Андреевна,01-02-1999,09-01-2018,216
220,8594.0,Лебедев Тимур Максимович,16-03-1993,Латышева Злата Михайловна,22-01-1987,19-04-2020,216
221,6419.0,Соловьев Илья Денисович,23-08-1994,Вавилова Маргарита Никитична,14-08-1998,19-10-2022,217
222,348.0,Степанов Андрей Григорьевич,06-12-1983,Дубова Ксения Алексеевна,27-01-1989,15-09-2020,217
223,395.0,Васильев Давид Тимофеевич,20-11-1982,Казакова Арина Александровна,23-07-1982,11-05-2019,221
224,1207.0,Воронин Савелий Иванович,19-04-1996,Назарова Вероника Платоновна,12-03-1997,08-02-2022,224
225,8200.0,Гусев Богдан Александрович,04-01-1984,Кузьмина Айлин Степановна,19-11-1983,18-06-2020,224
226,4644.0,Калачев Всеволод Леонидович,22-05-1981,Павлова Агата Савельевна,11-05-1987,01-12-2019,224
227,1692.0,Филатов Лука Андреевич,11-02-1995,Николаева Алиса Григорьевна,24-01-1998,12-07-2019,226
228,6175.0,Гусев Богдан Александрович,17-03-1993,Алексеева Арина Матвеевна,07-07-1985,11-05-2022,227
229,7979.0,Попов Степан Кириллович,19-12-1998,Смирнова Варвара Борисовна,26-06-1983,19-01-2021,227
230,4221.0,Ширяев Кирилл Ильич,18-04-1989,Смирнова Екатерина Михайловна,20-05-1993,15-05-2019,228
231,4098.0,Колесов Адам Петрович,03-06-1987,Самойлова Дарина Кирилловна,16-07-1988,22-12-2021,229
232,7481.0,Осипов Дмитрий Платонович,18-05-1987,Павлова Агата Савельевна,15-06-1987,15-09-2023,229
233,457.0,Ширяев Кирилл Ильич,01-08-1998,Дроздова Марина Михайловна,20-12-1992,01-08-2018,230
234,6096.0,Иванов Владимир Владиславович,23-06-1988,Васильева Полина Михайловна,01-05-1983,28-07-2019,232
235,901.0,Пименов Демид Валерьевич,15-03-1985,Борисова Вероника Савельевна,27-12-1991,20-08-2020,233
236,5944.0,Верещагин Даниил Демидович,29-09-1987,Зайцева Виктория Никитична,11-10-1992,19-09-2023,236
237,7728.0,Смирнов Матвей Максимович,02-11-1982,Морозова Ева Данииловна,25-11-1994,28-05-2023,236
238,5473.0,Васильев Егор Тимофеевич,26-08-1995,Розанова Виктория Кирилловна,13-12-1990,28-12-2021,237
239,594.0,Новиков Виктор Маркович,17-10-1994,Нечаева Алёна Александровна,03-11-1986,25-10-2018,237
