,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
73,Власов Денис Степанович,18-07-1980,Смирнова Ясмина Ивановна,04-12-1986,10-01-2020,615
74,Хромов Кирилл Александрович,05-08-1999,Смирнова Варвара Борисовна,16-03-1983,12-06-2020,621
75,Фомин Лев Александрович,06-07-1981,Ильина Вероника Олеговна,22-03-1994,09-03-2021,958
76,Фомин Лев Александрович,07-03-1982,Емельянова Арина Артёмовна,29-12-1990,19-06-2021,808
77,Ефремов Дмитрий Всеволодович,25-09-1982,Баранова Дарья Владимировна,14-03-1983,09-11-2018,434
78,Иванов Михаил Сергеевич,19-04-1986,Дубова Ксения Алексеевна,02-10-1998,10-05-2021,945
79,Данилов Владимир Егорович,11-11-1993,Попова Вера Ивановна,26-11-1997,13-02-2021,152
80,Мельников Арсений Данилович,24-12-1988,Павлова Агата Савельевна,28-02-1983,22-08-2023,969
81,Пименов Демид Валерьевич,25-11-1984,Маркова Мария Леоновна,31-05-1992,28-10-2019,965
82,Ильин Матвей Максимович,11-11-1988,Куликова Дарья Георгиевна,09-03-1980,21-02-2021,599
83,Власов Денис Степанович,04-11-1997,Кузнецова Ксения Вячеславовна,14-04-1997,09-09-2019,218
84,Горшков Егор Артёмович,11-01-1993,Кузьмина Айлин Степановна,08-03-1981,26-07-2022,369
85,Попов Степан Кириллович,03-07-1984,Самойлова Дарина Кирилловна,29-09-1982,12-11-2019,692
86,Жуков Андрей Петрович,14-05-1980,Вишневская Алисия Андреевна,13-07-1988,11-11-2022,975
87,Буров Дмитрий Лукич ,21-02-1989,Степанова Екатерина Владимировна,20-05-1994,26-10-2023,698
88,Царев Мартин Андреевич,05-11-1999,Крылова Елизавета Владиславовна,10-01-1989,04-07-2019,68
89,Гусев Богдан Александрович,21-11-1989,Иванова Анна Григорьевна,27-01-1987,30-04-2018,442
90,Мельников Арсений Данилович,20-05-1980,Лукина Арина Кирилловна,24-12-1994,15-09-2018,388
91,Марков Максим Александрович,17-04-1987,Григорьева Ксения Данииловна,14-07-1993,14-02-2019,362
92,Михайлов Артём Андреевич,14-04-1983,Зайцева Вероника Саввична,03-05-1993,17-02-2020,671
93,Новиков Андрей Денисович,07-05-1999,Назарова Вероника Платоновна,06-12-1985,28-12-2018,353
94,Верещагин Даниил Демидович,24-07-1987,Трофимова Ангелина Матвеевна,21-08-1996,14-12-2018,907
95,Титов Артур Артёмович,06-08-1987,Старостина Ульяна Даниэльевна,12-10-1985,05-07-2018,216
96,Сорокин Артём Даниилович,31-10-1988,Николаева Алиса Григорьевна,12-06-1996,20-09-2023,395
97,Иванов Михаил Сергеевич,15-05-1995,Зайцева Ксения Артемьевна,12-07-1987,03-03-2020,933
98,Аникин Фёдор Степанович,17-01-1997,Кузнецова Ксения Вячеславовна,09-02-1997,11-08-2023,886
99,Калачев Всеволод Леонидович,15-09-1989,Васильева Полина Михайловна,26-10-1986,17-04-2021,72
100,Князев Марк Вадимович,01-11-1998,Алексеева Ульяна Тимофеевна,11-05-1992,24-10-2020,356
101,Титов Артур Артёмович,09-11-1994,Назарова Алина Михайловна,09-08-1980,13-10-2018,663
102,Титов Артур Артёмович,08-07-1989,Пирогова Агата Ивановна,25-01-1999,14-03-2021,906
103,Новиков Андрей Денисович,25-09-1998,Панина Таисия Денисовна,29-08-1993,13-11-2023,793
104,Давыдов Иван Матвеевич,25-01-1997,Зайцева Виктория Никитична,11-01-1982,30-01-2021,382
105,Королев Владимир Даниилович,13-12-1985,Петухова Алиса Алексеевна,14-07-1993,16-04-2018,602
106,Шестаков Константин Степанович,03-07-1981,Алексеева Арина Матвеевна,19-01-1996,28-06-2021,243
107,Колесов Адам Петрович,04-06-1980,Куликова Дарья Георгиевна,04-07-1991,24-12-2022,810
108,Петров Матвей Юрьевич,27-08-1995,Смирнова Ясмина Ивановна,28-04-1986,18-01-2018,430
109,Гусев Станислав Викторович,04-06-1995,Васильева Полина Михайловна,02-08-1996,05-03-2020,220
110,Королев Владимир Даниилович,22-06-1991,Куликова Дарья Георгиевна,02-03-1991,08-10-2021,498
111,Овчинников Владимир Алексеевич,18-10-1983,Старостина Ульяна Даниэльевна,22-04-1999,18-09-2019,286
112,Круглов Роман Максимович,29-07-1995,Суворова Стефания Артёмовна,29-02-1984,21-01-2022,161
113,Лебедев Тимур Максимович,21-08-1980,Самсонова Виктория Степановна,28-12-1998,17-04-2022,331
114,Казанцев Марк Назарович,24-11-1981,Ершова София Максимовна,02-01-1986,28-12-2019,122
115,Данилов Владимир Егорович,20-03-1988,Куликова Мелания Платоновна,16-11-1994,06-07-2022,403
116,Попов Вячеслав Михайлович,12-06-1984,Козлова Мария Алексеевна,08-07-1985,09-11-2018,681
117,Соловьев Илья Денисович,10-11-1992,Павловская Вероника Владимировна,25-12-1993,16-11-2023,374
118,Константинов Артемий Викторович,01-12-1993,Ермакова Анастасия Павловна,27-09-1996,09-08-2023,730
119,Петров Матвей Юрьевич,16-02-1996,Назарова Вероника Платоновна,31-10-1981,10-10-2022,268
120,Новиков Даниил Матвеевич,18-07-1986,Васильева Полина Михайловна,29-02-1988,23-10-2020,989
121,Савельев Роман Михайлович,23-10-1991,Седова София Игоревна,26-01-1986,06-03-2022,394
122,Муратов Вячеслав Дмитриевич,19-10-1986,Климова Александра Артемьевна,20-11-1992,08-01-2022,137
123,Фетисов Кирилл Артемьевич,22-01-1998,Нечаева Алёна Александровна,27-04-1981,14-10-2018,845
124,Калачев Всеволод Леонидович,08-09-1997,Зайцева Ксения Артемьевна,06-09-1994,25-02-2022,153
125,Кузнецов Михаил Демидович,05-10-1989,Самойлова Дарина Кирилловна,15-03-1997,12-04-2021,201
126,Власов Андрей Семёнович,27-09-1996,Кузнецова Ксения Вячеславовна,03-05-1999,31-07-2018,461
127,Воронин Савелий Иванович,12-07-1980,Андреева Варвара Арсентьевна,15-08-1982,07-06-2019,148
128,Пименов Демид Валерьевич,29-09-1999,Зайцева Вероника Саввична,08-09-1981,10-05-2020,101
129,Левин Артемий Степанович,14-02-1980,Петухова Алиса Алексеевна,01-04-1983,22-09-2020,578
130,Овчинников Владимир Алексеевич,23-12-1985,Михеева Аделина Елисеевна,19-08-1981,19-07-2020,499
131,Винокуров Кирилл Алиевич,04-11-1994,Морозова Дарина Артёмовна,21-08-1985,15-10-2019,566
132,Власов Андрей Семёнович,15-03-1996,Седова София Игоревна,24-08-1997,31-08-2020,700
133,Муравьев Тимур Андреевич,22-01-1980,Алексеева Арина Матвеевна,10-12-1987,20-02-2021,82
134,Егоров Максим Даниилович,25-09-1987,Павловская Вероника Владимировна,27-10-1982,14-09-2020,457
135,Казанцев Марк Назарович,01-08-1985,Кузьмина Айлин Степановна,16-12-1988,10-11-2023,38
136,Белоусов Фёдор Даниилович,24-03-1991,Иванова Дарья Сергеевна,22-10-1982,26-08-2022,973
137,Белоусов Фёдор Даниилович,14-01-1988,Ершова София Максимовна,04-07-1983,30-08-2020,458
138,Смирнов Дмитрий Григорьевич,18-02-1984,Пирогова Агата Ивановна,26-10-1981,29-04-2022,391
139,Федоров Вячеслав Юрьевич,08-03-1987,Куликова Дарья Георгиевна,06-02-1991,02-01-2020,648
140,Крючков Алексей Васильевич,31-03-1992,Богомолова Лидия Вячеславовна,27-10-1998,30-07-2023,277
141,Федоров Вячеслав Юрьевич,23-02-1980,Петрова Аделина Данииловна,14-05-1985,26-06-2020,199
142,Васильев Егор Тимофеевич,08-07-1980,Козлова Мария Алексеевна,13-02-1997,03-04-2023,959
143,Смирнов Дамир Даниилович,08-02-1983,Лобанова Полина Андреевна,13-04-1982,21-07-2020,371
144,Крючков Алексей Васильевич,04-01-1981,Розанова Виктория Кирилловна,15-07-1982,09-03-2021,708
145,Осипов Максим Максимович,22-04-1984,Назарова Вероника Платоновна,16-12-1997,29-05-2019,621
146,Царев Мартин Андреевич,20-06-1993,Бабушкина Амина Давидовна,25-10-1982,20-12-2022,28
147,Кузнецов Михаил Демидович,30-09-1989,Зайцева Виктория Никитична,21-08-1981,10-11-2023,181
148,Иванов Михаил Сергеевич,24-08-1996,Казакова Арина Александровна,05-09-1991,19-06-2023,239
149,Ширяев Кирилл Ильич,25-06-1992,Павлова Агата Савельевна,07-07-1993,17-12-2022,994
150,Миронов Фёдор Григорьевич,14-07-1982,Архипова Варвара Макаровна,21-11-1985,17-08-2020,619
151,Мельников Арсений Данилович,29-10-1996,Емельянова Арина Артёмовна,28-05-1994,13-01-2021,702
152,Князев Марк Вадимович,21-12-1994,Суворова Стефания Артёмовна,16-08-1998,17-01-2018,727
153,Булгаков Иван Владимирович,19-07-1985,Рябова Елизавета Владимировна,16-02-1996,30-06-2018,917
154,Круглов Роман Максимович,18-02-1997,Савельева София Мироновна,03-05-1982,25-12-2018,500
155,Верещагин Даниил Демидович,20-08-1988,Добрынина Милана Данииловна,17-07-1988,26-06-2022,683
156,Волков Герман Степанович,03-02-1994,Баранова Дарья Владимировна,21-07-1984,22-08-2020,34
157,Осипов Дмитрий Платонович,05-11-1993,Смирнова Екатерина Михайловна,20-05-1980,17-09-2018,353
158,Данилов Владимир Егорович,20-10-1987,Панина Таисия Денисовна,25-09-1990,19-01-2023,235
159,Новиков Виктор Маркович,25-01-1998,Пирогова Агата Ивановна,09-01-1984,26-10-2021,477
160,Воронин Савелий Иванович,31-07-1981,Павловская Вероника Владимировна,23-05-1985,02-04-2022,834
161,Царев Мартин Андреевич,13-05-1993,Зайцева Вероника Саввична,18-09-1997,05-05-2021,38
162,Винокуров Кирилл Алиевич,05-08-1995,Ермакова Анастасия Павловна,08-05-1994,08-02-2020,90
163,Гусев Богдан Александрович,05-10-1994,Павлова Агата Савельевна,06-11-1984,22-01-2018,884
164,Казаков Марк Михайлович,18-04-1998,Ермакова Анастасия Павловна,12-03-1984,07-08-2021,984
165,Родионов Михаил Дмитриевич,10-07-1993,Пахомова Майя Никитична,21-11-1988,07-02-2021,25
166,Медведев Артём Ярославович,03-02-1999,Борисова Вероника Савельевна,22-10-1997,09-12-2023,446
167,Герасимов Давид Петрович,12-03-1982,Петрова Юлия Никитична,14-09-1988,29-08-2023,224
168,Попов Степан Кириллович,02-09-1994,Борисова Вероника Савельевна,05-01-1992,28-06-2021,648
169,Горбачев Александр Тихонович,19-06-1986,Михеева Аделина Елисеевна,10-11-1989,15-06-2019,142
170,Федоров Вячеслав Юрьевич,16-07-1994,Дроздова Марина Михайловна,01-01-1996,22-04-2018,770
171,Овчинников Владимир Алексеевич,05-12-1997,Петрова Юлия Никитична,27-09-1996,17-02-2019,324
172,Яковлев Даниил Георгиевич,01-10-1996,Петрова Юлия Никитична,20-01-1992,20-06-2023,148
173,Медведев Александр Платонович,28-03-1982,Лукина Арина Кирилловна,05-07-1991,14-06-2019,155
174,Филатов Лука Андреевич,06-06-1997,Медведева София Ильинична,14-10-1995,14-09-2021,631
175,Петров Матвей Юрьевич,09-03-1988,Куликова Дарья Георгиевна,21-08-1982,28-12-2020,572
176,Мельников Арсений Данилович,30-09-1990,Иванова Алиса Тихоновна,19-10-1985,29-12-2020,173
177,Кочетков Андрей Леонидович,04-10-1983,Пирогова Агата Ивановна,21-03-1982,06-07-2020,766
178,Кочетков Андрей Леонидович,18-02-1988,Павлова Александра Ярославовна,05-08-1982,29-08-2018,954
179,Кононов Виктор Максимович,11-11-1991,Смирнова Варвара Борисовна,28-09-1984,21-03-2021,213
180,Ильин Матвей Максимович,03-05-1992,Назарова Вероника Платоновна,04-07-1990,31-01-2023,783
181,Калачев Всеволод Леонидович,03-02-1996,Ермакова Анастасия Павловна,04-05-1988,08-11-2023,651
182,Родионов Михаил Дмитриевич,15-06-1982,Тихомирова Ксения Львовна,30-08-1983,07-08-2023,714
183,Кочетков Андрей Леонидович,15-02-1982,Куликова Дарья Георгиевна,24-02-1998,01-10-2020,604
184,Пантелеев Максим Алексеевич,26-10-1980,Назарова Ульяна Арсеновна,21-01-1995,21-06-2020,107
185,Романов Вячеслав Савельевич,21-06-1998,Иванова Дарья Сергеевна,09-01-1989,05-07-2021,59
186,Аникин Фёдор Степанович,08-05-1997,Андреева Варвара Арсентьевна,31-08-1983,25-11-2018,8
187,Казанцев Марк Назарович,08-12-1985,Богомолова Лидия Вячеславовна,05-08-1985,19-12-2019,236
188,Осипов Максим Максимович,31-05-1983,Латышева Злата Михайловна,02-09-1985,19-11-2018,581
189,Филатов Лука Андреевич,06-07-1986,Петрова Юлия Никитична,25-12-1997,31-08-2021,683
190,Медведев Александр Платонович,25-11-1982,Антипова София Игоревна,22-10-1993,28-05-2019,636
191,Овчинников Владимир Алексеевич,13-05-1980,Баранова Дарья Владимировна,22-03-1987,07-08-2020,354
192,Верещагин Даниил Демидович,13-11-1981,Борисова София Фёдоровна,12-11-1992,19-03-2019,184
193,Кочетков Андрей Леонидович,13-05-1984,Иванова Дарья Сергеевна,13-02-1991,10-07-2018,206
194,Дегтярев Илья Тимофеевич,29-11-1989,Дроздова Марина Михайловна,17-05-1998,01-12-2020,719
195,Романов Вячеслав Савельевич,20-02-1984,Маркова Мария Леоновна,24-02-1980,19-01-2021,323
196,Новиков Андрей Денисович,19-09-1993,Самсонова Виктория Степановна,30-10-1982,11-06-2022,78
197,Муратов Вячеслав Дмитриевич,17-09-1983,Маркова Мария Леоновна,06-04-1986,15-03-2020,586
198,Ефремов Дмитрий Всеволодович,25-10-1997,Самойлова Дарина Кирилловна,24-07-1980,24-04-2023,707
199,Симонов Савва Дмитриевич,10-10-1980,Латышева Злата Михайловна,25-01-1993,23-07-2019,857
200,Лебедев Тимур Максимович,04-11-1996,Семенова Анна Кирилловна,22-07-1984,19-11-2022,150
201,Сергеев Марк Алиевич,25-03-1983,Зайцева Вероника Саввична,21-03-1986,07-12-2018,577
202,Казанцев Марк Назарович,20-09-1998,Андреева Варвара Арсентьевна,03-04-1987,05-05-2018,188
203,Хромов Кирилл Александрович,09-03-1981,Назарова Вероника Платоновна,28-06-1993,03-05-2018,506
204,Волков Герман Степанович,03-12-1985,Михайлова София Алексеевна,13-05-1995,31-10-2023,224
205,Левин Артемий Степанович,09-08-1983,Степанова Екатерина Владимировна,11-06-1989,07-12-2020,978
206,Титов Артур Артёмович,26-04-1992,Мартынова Полина Ивановна,08-08-1983,08-09-2021,737
207,Федоров Вячеслав Юрьевич,14-09-1987,Петрова Аделина Данииловна,19-10-1985,14-06-2020,175
208,Молчанов Иван Максимович,18-10-1988,Кочеткова Полина Робертовна,26-03-1995,09-10-2020,967
209,Горбачев Александр Тихонович,25-12-1991,Петрова Юлия Никитична,13-07-1997,28-12-2023,939
210,Хромов Кирилл Александрович,05-04-1997,Вавилова Маргарита Никитична,11-11-1980,19-07-2018,312
211,Винокуров Кирилл Алиевич,15-06-1986,Медведева София Ильинична,15-05-1989,23-06-2019,415
212,Казанцев Марк Назарович,05-12-1991,Иванова Анна Григорьевна,13-12-1987,19-09-2023,110
213,Петров Матвей Юрьевич,31-12-1995,Ильина Вероника Олеговна,04-02-1980,28-06-2019,592
214,Калачев Всеволод Леонидович,12-06-1985,Рябова Елизавета Владимировна,08-07-1999,19-06-2022,404
215,Крючков Алексей Васильевич,24-12-1993,Баранова Дарья Владимировна,03-08-1997,05-10-2023,5
216,Смирнов Дмитрий Григорьевич,28-05-1985,Борисова София Фёдоровна,21-02-1992,15-08-2019,279
217,Романов Вячеслав Савельевич,23-02-1996,Зайцева Виктория Никитична,23-08-1993,09-05-2019,179
218,Иванов Михаил Сергеевич,26-09-1980,Суворова Стефания Артёмовна,20-08-1985,02-10-2019,926
219,Дмитриев Тимофей Михайлович,30-01-1989,Князева Валерия Ивановна,31-03-1987,28-06-2020,895
220,Воронин Савелий Иванович,15-10-1988,Медведева София Ильинична,20-11-1985,20-10-2022,931
221,Попов Вячеслав Михайлович,03-09-1997,Зайцева Вероника Саввична,27-04-1984,18-09-2023,163
222,Елисеев Денис Никитич,22-04-1988,Зайцева Вероника Саввична,16-11-1983,22-08-2023,781
223,Гусев Богдан Александрович,18-04-1980,Зайцева Вероника Саввична,19-03-1982,27-03-2022,308
224,Хромов Кирилл Александрович,08-11-1985,Суворова Стефания Артёмовна,08-11-1980,12-11-2019,348
225,Смирнов Степан Константинович,22-06-1981,Князева Валерия Ивановна,05-04-1991,14-05-2022,753
226,Титов Артур Артёмович,01-01-1996,Дроздова Марина Михайловна,29-07-1985,11-06-2018,379
227,Иванов Михаил Сергеевич,02-05-1999,Кошелева Эмилия Максимовна,11-12-1985,11-02-2021,312
228,Кузнецов Михаил Демидович,25-02-1993,Кузина Полина Ильинична,24-01-1994,30-07-2018,956
229,Симонов Савва Дмитриевич,05-02-1994,Князева Валерия Ивановна,01-04-1999,27-08-2019,186
230,Буров Дмитрий Лукич ,24-03-1982,Семенова Анна Кирилловна,04-04-1986,13-07-2023,515
231,Васильев Павел Артёмович,04-08-1993,Макарова София Тимофеевна,10-09-1998,29-01-2020,117
232,Ильин Матвей Максимович,20-03-1983,Кочеткова Полина Робертовна,19-07-1993,13-02-2019,535
233,Ширяев Кирилл Ильич,21-10-1989,Богомолова Лидия Вячеславовна,04-05-1994,09-03-2019,819
234,Левин Артемий Степанович,03-09-1995,Смирнова Стефания Всеволодовна,15-11-1995,22-03-2018,853
235,Васильев Егор Тимофеевич,17-08-1990,Трофимова Ангелина Матвеевна,29-01-1992,19-07-2022,959
236,Родионов Михаил Дмитриевич,08-09-1997,Латышева Злата Михайловна,17-03-1999,17-06-2023,567
237,Пименов Демид Валерьевич,10-03-1988,Назарова Ульяна Арсеновна,28-03-1982,12-05-2021,100
238,Фетисов Кирилл Артемьевич,24-03-1999,Кочеткова Полина Робертовна,12-01-1986,20-06-2023,560
239,Дегтярев Илья Тимофеевич,20-05-1999,Лукина Арина Кирилловна,18-08-1988,01-05-2021,306
240,Крючков Алексей Васильевич,18-03-1988,Васильева Полина Михайловна,29-06-1992,06-03-2023,709
241,Соловьев Илья Денисович,25-02-1997,Добрынина Милана Данииловна,31-03-1986,27-05-2022,538
242,Родионов Михаил Дмитриевич,15-02-1988,Архипова Варвара Макаровна,06-10-1991,20-02-2022,54
243,Васильев Давид Тимофеевич,07-06-1982,Дроздова Марина Михайловна,03-02-1997,28-04-2020,586
244,Горбачев Александр Тихонович,08-12-1998,Вавилова Маргарита Никитична,11-05-1984,22-09-2023,332
245,Корчагин Даниил Борисович,25-09-1996,Дроздова Марина Михайловна,11-06-1984,27-07-2021,679
246,Дубинин Мирон Егорович,25-06-1985,Панина Таисия Денисовна,03-12-1990,17-09-2023,252
247,Белов Евгений Артёмович,15-01-1984,Лукина Арина Кирилловна,10-09-1997,12-12-2018,975
248,Хромов Кирилл Александрович,20-09-1989,Рябова Елизавета Владимировна,02-10-1986,12-04-2019,471
249,Фетисов Кирилл Артемьевич,29-11-1990,Михайлова София Алексеевна,09-09-1985,11-04-2020,22
250,Булгаков Иван Владимирович,17-08-1997,Медведева София Ильинична,22-12-1984,05-07-2023,623
251,Жуков Андрей Петрович,18-12-1995,Борисова София Фёдоровна,10-02-1982,13-08-2019,483
252,Казаков Марк Михайлович,08-01-1981,Павловская Вероника Владимировна,25-05-1998,03-03-2023,261
253,Родионов Михаил Дмитриевич,20-04-1991,Григорьева Ксения Данииловна,23-06-1986,06-03-2019,665
254,Степанов Андрей Григорьевич,03-07-1995,Емельянова Арина Артёмовна,10-01-1994,05-09-2019,231
255,Муравьев Тимур Андреевич,15-11-1996,Смирнова Варвара Борисовна,26-05-1983,01-11-2022,945
256,Фомин Лев Александрович,14-12-1983,Кошелева Эмилия Максимовна,30-01-1987,10-03-2021,683
257,Иванов Даниил Сергеевич,28-02-1999,Козлова Ясмина Михайловна,07-12-1994,12-11-2020,952
258,Королев Владимир Даниилович,23-05-1990,Васильева Полина Михайловна,15-11-1986,06-08-2020,553
259,Новиков Андрей Денисович,12-03-1989,Толкачева Софья Ивановна,13-06-1998,03-04-2022,720
260,Ефремов Дмитрий Всеволодович,08-06-1992,Морозова Ева Данииловна,11-09-1990,04-03-2022,427
