,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
101,Калачев Всеволод Леонидович,18-12-1995,Павлова Агата Савельевна,01-04-1985,21-12-2022,1512
102,Винокуров Кирилл Алиевич,26-09-1988,Васильева Полина Михайловна,05-10-1999,02-05-2021,3053
103,Колесов Адам Петрович,02-10-1994,Емельянова Арина Артёмовна,10-06-1990,13-09-2020,4483
104,Смирнов Дамир Даниилович,07-02-1990,Латышева Злата Михайловна,19-06-1984,25-07-2018,2287
105,Казанцев Марк Назарович,25-12-1987,Смирнова Ясмина Ивановна,04-02-1990,04-03-2020,4695
106,Степанов Андрей Григорьевич,04-03-1996,Назарова Алина Михайловна,02-10-1988,14-03-2021,2111
107,Муравьев Тимур Андреевич,07-09-1993,Михеева Аделина Елисеевна,02-02-1999,30-01-2021,3812
108,Степанов Андрей Григорьевич,04-09-1998,Добрынина Милана Данииловна,21-04-1998,10-05-2021,1170
109,Медведев Александр Платонович,30-03-1991,Макарова София Тимофеевна,19-02-1990,24-11-2022,3360
110,Кононов Виктор Максимович,17-08-1985,Павлова Агата Савельевна,25-11-1988,05-01-2021,2699
111,Казанцев Марк Назарович,13-11-1995,Васильева Полина Михайловна,13-02-1990,07-10-2020,4424
112,Пантелеев Максим Алексеевич,23-07-1998,Зайцева Виктория Никитична,27-07-1999,16-04-2020,1131
113,Власов Денис Степанович,15-01-1994,Баранова Дарья Владимировна,29-11-1993,06-12-2018,3236
114,Симонов Савва Дмитриевич,25-04-1981,Ермакова Анастасия Павловна,22-08-1980,10-03-2021,2880
115,Белов Евгений Артёмович,15-02-1994,Лукина Арина Кирилловна,11-08-1985,24-09-2019,2756
116,Миронов Фёдор Григорьевич,04-09-1998,Семенова Анна Кирилловна,13-02-1995,13-06-2023,1136
117,Пантелеев Максим Алексеевич,19-09-1994,Антипова София Игоревна,28-10-1982,07-03-2019,1219
118,Хромов Кирилл Александрович,10-12-1988,Кононова Алина Георгиевна,17-05-1990,06-07-2022,1987
119,Смирнов Лев Михайлович,22-03-1985,Львова Дарина Марковна,17-06-1980,15-02-2021,2065
120,Калачев Всеволод Леонидович,03-02-1996,Львова Дарина Марковна,24-10-1997,26-07-2023,2477
121,Ефремов Дмитрий Всеволодович,28-03-1982,Колесникова Злата Никитична,09-12-1994,05-05-2018,3029
122,Винокуров Кирилл Алиевич,27-07-1988,Ершова София Максимовна,09-04-1984,05-12-2023,892
123,Савельев Роман Михайлович,19-04-1996,Пахомова Майя Никитична,07-02-1980,22-03-2021,463
124,Крючков Алексей Васильевич,13-02-1980,Григорьева Ксения Данииловна,16-04-1998,17-01-2020,2226
125,Попов Вячеслав Михайлович,25-10-1986,Смирнова Стефания Всеволодовна,11-11-1983,20-08-2021,4343
126,Булгаков Иван Владимирович,30-04-1991,Семенова Анна Кирилловна,22-05-1994,19-07-2021,3603
127,Овчинников Владимир Алексеевич,04-08-1985,Михайлова София Алексеевна,07-09-1980,05-09-2019,2501
128,Иванов Даниил Сергеевич,18-12-1989,Князева Валерия Ивановна,23-12-1991,21-11-2019,4510
129,Князев Марк Вадимович,25-11-1988,Пирогова Агата Ивановна,17-02-1986,19-07-2018,1713
130,Романов Вячеслав Савельевич,01-09-1982,Кононова Алина Георгиевна,07-11-1998,16-12-2021,3886
131,Марков Максим Александрович,17-12-1997,Назарова Ульяна Арсеновна,24-07-1992,07-08-2021,190
132,Родионов Михаил Дмитриевич,28-08-1986,Кузьмина Айлин Степановна,10-04-1981,06-05-2021,668
133,Васильев Давид Тимофеевич,27-10-1991,Дементьева Екатерина Никитична,14-02-1993,28-10-2020,2139
134,Соловьев Илья Денисович,18-01-1988,Архипова Варвара Макаровна,29-04-1997,27-05-2023,1838
135,Егоров Максим Даниилович,14-06-1985,Петровская Ева Егоровна,22-07-1999,02-03-2021,2161
136,Данилов Владимир Егорович,02-05-1989,Казакова Арина Александровна,16-06-1988,29-03-2019,3081
137,Горшков Егор Артёмович,21-05-1986,Дементьева Екатерина Никитична,05-07-1991,17-09-2018,2162
138,Титов Артур Артёмович,06-02-1985,Макарова София Тимофеевна,09-05-1995,04-01-2021,1101
139,Герасимов Давид Петрович,08-09-1984,Трофимова Ангелина Матвеевна,08-04-1992,21-04-2020,410
140,Сергеев Андрей Иванович,09-07-1982,Лаврентьева Таисия Артёмовна,09-08-1997,17-08-2022,2941
141,Марков Максим Александрович,12-09-1995,Смирнова Екатерина Михайловна,22-06-1989,10-10-2020,1091
142,Смирнов Дамир Даниилович,16-08-1987,Смирнова Варвара Борисовна,29-10-1986,14-07-2022,4222
143,Верещагин Даниил Демидович,02-12-1984,Панина Таисия Денисовна,19-09-1994,09-01-2023,4481
144,Смирнов Дамир Даниилович,13-07-1999,Кузьмина Айлин Степановна,11-01-1986,03-02-2019,298
145,Белов Евгений Артёмович,01-04-1990,Петровская Ева Егоровна,14-03-1988,12-06-2021,2101
146,Верещагин Даниил Демидович,17-10-1993,Зайцева Вероника Саввична,03-08-1991,19-08-2019,3621
147,Смирнов Лев Михайлович,29-01-1988,Антипова София Игоревна,30-03-1996,26-11-2020,2635
148,Фетисов Кирилл Артемьевич,24-12-1981,Дроздова Марина Михайловна,15-06-1999,29-03-2018,527
149,Савельев Роман Михайлович,02-12-1982,Кочеткова Полина Робертовна,19-11-1992,06-09-2020,2427
150,Соловьев Илья Денисович,25-07-1988,Комарова Мария Михайловна,02-09-1988,05-09-2023,2554
151,Медведев Артём Ярославович,11-10-1993,Хромова Варвара Леоновна,30-11-1980,09-05-2020,3375
152,Кочетков Андрей Леонидович,13-03-1980,Ершова София Максимовна,25-12-1996,16-01-2020,3044
153,Белов Евгений Артёмович,07-03-1985,Васильева Анна Сергеевна,27-02-1996,16-09-2020,1611
154,Корнилов Олег Вадимович,27-10-1987,Колесникова Злата Никитична,05-02-1980,12-01-2020,2615
155,Смирнов Дмитрий Григорьевич,03-02-1999,Кузина Полина Ильинична,25-02-1981,29-01-2023,4265
156,Горбачев Александр Тихонович,24-10-1999,Козлова Ясмина Михайловна,07-11-1982,15-09-2022,4666
157,Медведев Александр Платонович,14-04-1982,Пирогова Агата Ивановна,17-05-1995,10-02-2019,4637
158,Беляков Матвей Егорович,04-11-1982,Назарова Ульяна Арсеновна,21-01-1987,05-05-2023,3031
159,Дубинин Мирон Егорович,14-04-1998,Медведева София Ильинична,09-02-1992,18-07-2018,4535
160,Васильев Егор Тимофеевич,03-09-1982,Дубова Ксения Алексеевна,27-03-1995,24-07-2022,4854
161,Осипов Максим Максимович,03-02-1999,Зайцева Вероника Саввична,05-12-1981,22-10-2020,4743
162,Иванов Даниил Сергеевич,13-11-1985,Богомолова Лидия Вячеславовна,04-04-1985,27-03-2023,3209
163,Казаков Марк Михайлович,07-01-1983,Старостина Ульяна Даниэльевна,28-08-1992,04-12-2019,1810
164,Фетисов Кирилл Артемьевич,05-05-1995,Павлова Александра Ярославовна,27-06-1985,21-07-2019,401
165,Яковлев Даниил Георгиевич,10-01-1991,Ермакова Анастасия Павловна,12-05-1980,02-09-2022,1576
166,Гусев Станислав Викторович,26-08-1986,Григорьева Ксения Данииловна,10-06-1999,08-12-2021,3169
167,Смирнов Матвей Максимович,24-05-1985,Панина Таисия Денисовна,04-08-1984,07-11-2023,4607
168,Овчинников Владимир Алексеевич,21-02-1995,Добрынина Милана Данииловна,24-12-1987,28-10-2019,3451
169,Васильев Павел Артёмович,28-12-1990,Кузина Полина Ильинична,30-07-1997,23-11-2020,2116
170,Круглов Роман Максимович,24-09-1980,Добрынина Милана Данииловна,01-07-1996,14-01-2021,571
171,Князев Марк Вадимович,12-07-1993,Тихомирова Ксения Львовна,27-08-1980,10-06-2022,4469
172,Фетисов Кирилл Артемьевич,15-03-1982,Петрова Аделина Данииловна,04-07-1996,03-03-2023,701
173,Верещагин Даниил Демидович,28-06-1998,Баранова Дарья Владимировна,24-04-1999,14-01-2022,2784
174,Воронин Савелий Иванович,20-03-1984,Григорьева Алиса Марковна,18-08-1984,02-01-2019,1705
175,Осипов Максим Максимович,25-01-1984,Петухова Алиса Алексеевна,20-12-1983,23-07-2022,3429
176,Кононов Виктор Максимович,31-08-1987,Зайцева Вероника Саввична,28-04-1999,17-12-2021,317
177,Винокуров Степан Николаевич,26-01-1990,Нечаева Алёна Александровна,19-07-1986,13-06-2022,735
178,Аникин Фёдор Степанович,16-09-1990,Бабушкина Амина Давидовна,13-04-1981,10-04-2022,776
179,Сергеев Андрей Иванович,16-01-1992,Самсонова Виктория Степановна,15-07-1990,09-02-2018,3866
180,Пантелеев Максим Алексеевич,12-07-1981,Казакова Арина Александровна,23-11-1995,07-04-2022,2969
181,Дубинин Мирон Егорович,07-12-1996,Смирнова Екатерина Михайловна,03-07-1986,01-06-2020,4749
182,Пименов Демид Валерьевич,05-08-1989,Кузина Полина Ильинична,27-06-1984,08-09-2019,1041
183,Попов Вячеслав Михайлович,30-11-1995,Панина Таисия Денисовна,04-07-1998,21-08-2020,2495
184,Титов Артур Артёмович,01-06-1992,Зайцева Виктория Никитична,02-04-1987,05-01-2020,4576
185,Кононов Виктор Максимович,14-07-1980,Куликова Мелания Платоновна,24-02-1992,09-04-2019,3480
186,Круглов Роман Максимович,12-02-1980,Алексеева Ульяна Тимофеевна,01-09-1994,11-12-2022,49
187,Воробьев Савва Павлович,27-07-1999,Иванова Дарья Сергеевна,01-07-1982,29-05-2022,550
188,Егоров Максим Даниилович,27-11-1984,Комарова Мария Михайловна,06-09-1984,13-01-2022,4271
189,Князев Марк Вадимович,16-09-1993,Трофимова Ангелина Матвеевна,02-09-1985,04-02-2022,2180
190,Винокуров Кирилл Алиевич,26-03-1981,Павловская Вероника Владимировна,22-09-1997,10-11-2019,4155
191,Пименов Демид Валерьевич,01-09-1996,Кононова Алина Георгиевна,01-04-1991,28-09-2021,4055
192,Белов Евгений Артёмович,09-01-1997,Семенова Анна Кирилловна,09-07-1985,10-09-2020,1998
193,Ефремов Дмитрий Всеволодович,25-10-1999,Седова София Игоревна,20-04-1998,24-01-2022,75
194,Смирнов Степан Константинович,16-04-1980,Ершова София Максимовна,09-02-1994,16-02-2018,3139
195,Соловьев Илья Денисович,22-04-1988,Пирогова Агата Ивановна,06-11-1999,07-05-2022,2670
196,Казаков Марк Михайлович,18-08-1984,Андреева Варвара Арсентьевна,25-06-1996,05-02-2020,3000
197,Власов Денис Степанович,10-05-1996,Комарова Мария Михайловна,06-08-1999,14-03-2023,2371
198,Фетисов Кирилл Артемьевич,13-02-1983,Морозова Дарина Артёмовна,28-02-1980,28-09-2018,1581
199,Герасимов Давид Петрович,06-05-1989,Борисова Вероника Савельевна,02-04-1996,02-05-2019,1994
200,Дмитриев Тимофей Михайлович,10-05-1989,Дроздова Марина Михайловна,24-12-1989,01-10-2022,4964
201,Жуков Андрей Петрович,10-11-1987,Петухова Алиса Алексеевна,24-12-1985,01-09-2021,1990
202,Шестаков Константин Степанович,04-03-1998,Андреева Варвара Арсентьевна,05-05-1995,06-02-2018,1454
203,Власов Андрей Семёнович,10-06-1993,Васильева Полина Михайловна,30-09-1985,28-09-2018,2133
204,Белоусов Фёдор Даниилович,20-09-1990,Львова Дарина Марковна,30-05-1995,12-08-2022,238
205,Титов Артур Артёмович,14-11-1998,Морозова Дарина Артёмовна,09-11-1995,07-04-2020,555
206,Смирнов Дмитрий Григорьевич,02-06-1983,Баранова Дарья Владимировна,28-01-1988,03-02-2023,3802
207,Попов Вячеслав Михайлович,11-06-1980,Смирнова Стефания Всеволодовна,10-09-1981,29-01-2022,123
208,Жуков Андрей Петрович,21-02-1993,Добрынина Милана Данииловна,20-04-1987,05-11-2018,2826
209,Егоров Максим Даниилович,11-12-1980,Лаврентьева Таисия Артёмовна,18-10-1981,28-06-2018,61
210,Смирнов Дмитрий Григорьевич,08-11-1993,Дубова Ксения Алексеевна,16-02-1992,28-02-2018,160
211,Макаров Тимур Артёмович,24-10-1993,Андреева Варвара Арсентьевна,16-03-1981,18-04-2021,4873
212,Кононов Виктор Максимович,09-02-1987,Колесникова Злата Никитична,03-12-1988,18-12-2019,722
213,Поликарпов Даниил Петрович,17-01-1985,Петухова Алиса Алексеевна,05-12-1987,04-06-2020,3332
214,Константинов Артемий Викторович,20-05-1986,Старостина Ульяна Даниэльевна,05-03-1998,09-10-2020,3936
215,Поликарпов Даниил Петрович,01-07-1993,Пирогова Агата Ивановна,08-10-1995,06-05-2019,1225
216,Федоров Вячеслав Юрьевич,03-09-1991,Михайлова София Алексеевна,28-03-1984,18-03-2023,3670
217,Медведев Артём Ярославович,11-08-1990,Борисова София Фёдоровна,29-08-1999,11-02-2019,1270
218,Родионов Михаил Дмитриевич,25-11-1984,Панина Таисия Денисовна,08-08-1986,12-01-2018,4065
219,Фомин Лев Александрович,27-02-1995,Петровская Ева Егоровна,21-05-1985,19-02-2018,3674
220,Иванов Михаил Сергеевич,14-09-1999,Седова София Игоревна,07-01-1992,13-04-2021,3497
221,Васильев Егор Тимофеевич,21-04-1996,Петухова Алиса Алексеевна,12-01-1985,30-11-2021,1893
222,Герасимов Давид Петрович,31-12-1998,Петрова Аделина Данииловна,20-05-1988,17-08-2021,4931
223,Сергеев Андрей Иванович,03-08-1988,Павлова Агата Савельевна,17-01-1999,18-08-2022,1323
224,Шестаков Константин Степанович,31-12-1984,Петрова Юлия Никитична,31-05-1980,21-10-2022,4743
225,Беляков Матвей Егорович,05-08-1997,Седова София Игоревна,04-07-1999,12-11-2023,1113
226,Попов Вячеслав Михайлович,09-01-1986,Иванова Алиса Тихоновна,18-05-1991,19-06-2022,36
227,Буров Дмитрий Лукич ,06-11-1981,Смирнова Дарья Леонидовна,18-01-1992,19-05-2023,1289
228,Гусев Богдан Александрович,26-12-1988,Борисова Вероника Савельевна,12-08-1982,11-06-2019,4542
229,Макаров Давид Артурович,08-05-1994,Казакова Арина Александровна,01-11-1989,25-04-2022,351
230,Васильев Егор Тимофеевич,13-10-1989,Семенова Анна Кирилловна,19-04-1998,12-08-2022,2567
231,Данилов Владимир Егорович,06-08-1991,Толкачева Софья Ивановна,22-02-1998,13-09-2020,4037
232,Аникин Фёдор Степанович,24-01-1982,Ермакова Анастасия Павловна,09-10-1995,12-12-2018,290
233,Королев Владимир Даниилович,26-12-1994,Григорьева Ксения Данииловна,03-03-1991,14-12-2023,50
234,Жуков Андрей Петрович,28-11-1999,Казакова Арина Александровна,14-01-1980,30-04-2021,3173
235,Воробьев Савва Павлович,29-05-1995,Андреева Варвара Арсентьевна,26-04-1982,01-09-2019,85
236,Давыдов Иван Матвеевич,05-11-1985,Климова Александра Артемьевна,30-07-1986,10-02-2022,4883
237,Степанов Андрей Григорьевич,23-09-1994,Кудряшова Полина Алиевна,19-04-1994,21-02-2023,1919
238,Ильин Матвей Максимович,16-11-1981,Панина Таисия Денисовна,26-07-1987,27-03-2023,1925
239,Буров Дмитрий Лукич ,28-06-1989,Дементьева Екатерина Никитична,18-10-1981,17-01-2019,1466
240,Власов Андрей Семёнович,24-06-1995,Петухова Алиса Алексеевна,08-05-1999,10-10-2020,363
241,Сергеев Андрей Иванович,29-10-1998,Зайцева Ксения Артемьевна,09-12-1992,14-08-2020,521
242,Попов Степан Кириллович,27-11-1995,Емельянова Арина Артёмовна,08-04-1981,30-08-2018,109
243,Жуков Андрей Петрович,24-02-1988,Антипова София Игоревна,30-04-1993,11-04-2023,1100
244,Попов Степан Кириллович,09-07-1982,Зайцева Виктория Никитична,02-03-1995,28-12-2019,3075
245,Васильев Егор Тимофеевич,30-11-1980,Суворова Стефания Артёмовна,07-09-1990,21-05-2023,3911
246,Фомин Лев Александрович,14-01-1984,Алексеева Арина Матвеевна,30-07-1990,08-12-2018,856
247,Воронин Савелий Иванович,22-06-1995,Кузина Полина Ильинична,22-06-1989,04-12-2021,3418
248,Иванов Владимир Владиславович,21-01-1996,Павлова Агата Савельевна,30-10-1983,18-09-2019,1174
249,Волков Герман Степанович,14-07-1987,Тихомирова Ксения Львовна,09-11-1985,11-02-2022,4162
250,Попов Вячеслав Михайлович,03-03-1994,Смирнова Екатерина Михайловна,28-03-1981,04-02-2022,1441
251,Ширяев Кирилл Ильич,14-05-1990,Пахомова Майя Никитична,01-07-1981,21-04-2023,3429
252,Волков Герман Степанович,29-12-1980,Кузина Полина Ильинична,12-09-1995,10-09-2022,2668
253,Казаков Марк Михайлович,30-07-1986,Николаева Алиса Григорьевна,25-01-1982,27-11-2020,835
254,Винокуров Степан Николаевич,11-10-1982,Головина Анисия Михайловна,02-06-1981,24-01-2020,4166
255,Крючков Алексей Васильевич,02-08-1984,Антипова София Игоревна,09-12-1985,21-03-2018,2331
256,Калачев Всеволод Леонидович,02-02-1985,Смирнова Варвара Борисовна,05-02-1985,01-01-2022,807
