,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
74,Овчинников Владимир Алексеевич,05-10-1993,Архипова Варвара Макаровна,05-03-1985,30-07-2021,1596
75,Горшков Егор Артёмович,08-06-1980,Нечаева Алёна Александровна,30-08-1994,04-06-2018,1122
76,Беляков Матвей Егорович,10-11-1989,Кудряшова Полина Алиевна,22-10-1984,10-12-2021,875
77,Титов Артур Артёмович,29-05-1986,Панина Таисия Денисовна,28-10-1991,18-11-2022,552
78,Гусев Станислав Викторович,24-08-1988,Тихомирова Ксения Львовна,08-08-1993,08-05-2021,752
79,Васильев Егор Тимофеевич,10-04-1994,Казакова Арина Александровна,06-02-1996,05-10-2018,1989
80,Казанцев Марк Назарович,05-01-1993,Васильева Анна Сергеевна,26-08-1991,23-06-2022,1314
81,Королев Владимир Даниилович,05-09-1984,Панина Таисия Денисовна,13-12-1992,03-08-2022,108
82,Казаков Марк Михайлович,11-04-1996,Козлова Ясмина Михайловна,28-05-1983,24-03-2018,1300
83,Дегтярев Илья Тимофеевич,27-04-1989,Иванова Анна Григорьевна,07-08-1991,08-04-2022,901
84,Дмитриев Тимофей Михайлович,29-11-1992,Архипова Варвара Макаровна,26-02-1983,21-05-2023,190
85,Иванов Иван Макарович,07-12-1982,Иванова Алиса Тихоновна,20-07-1993,25-07-2018,352
86,Овчинников Владимир Алексеевич,27-07-1985,Кочеткова Полина Робертовна,12-07-1997,17-07-2023,1105
87,Буров Дмитрий Лукич ,30-03-1981,Рябова Елизавета Владимировна,05-03-1997,06-08-2023,1169
88,Королев Владимир Даниилович,26-02-1995,Ильина Вероника Олеговна,08-06-1992,09-12-2020,1994
89,Данилов Владимир Егорович,16-07-1991,Назарова Алина Михайловна,20-06-1999,17-11-2021,1076
90,Михайлов Артём Андреевич,17-12-1999,Михеева Аделина Елисеевна,20-04-1985,26-11-2020,1957
91,Жуков Андрей Петрович,15-01-1990,Лаврентьева Таисия Артёмовна,26-02-1982,02-12-2020,840
92,Романов Вячеслав Савельевич,13-10-1996,Савельева София Мироновна,24-03-1981,07-11-2022,908
93,Макаров Давид Артурович,07-02-1989,Петухова Алиса Алексеевна,11-04-1991,30-12-2019,879
94,Осипов Дмитрий Платонович,13-02-1999,Петровская Амира Тимофеевна,03-02-1998,20-01-2018,15
95,Левин Артемий Степанович,17-06-1980,Крылова Елизавета Владиславовна,18-10-1989,04-07-2020,275
96,Кононов Виктор Максимович,09-03-1988,Попова Вера Ивановна,01-11-1991,28-01-2022,1920
97,Винокуров Степан Николаевич,18-08-1989,Самсонова Виктория Степановна,20-03-1994,17-09-2019,1921
98,Петров Матвей Юрьевич,21-03-1998,Лукина Арина Кирилловна,18-02-1982,10-10-2019,77
99,Гусев Станислав Викторович,20-02-1982,Зайцева Ксения Артемьевна,13-07-1999,17-12-2019,586
100,Смирнов Степан Константинович,30-01-1984,Крылова Елизавета Владиславовна,25-11-1995,26-08-2020,858
101,Лебедев Тимур Максимович,24-12-1984,Павловская Вероника Владимировна,18-01-1986,30-08-2020,1815
102,Новиков Андрей Денисович,15-11-1995,Зайцева Вероника Саввична,08-06-1997,03-06-2020,1586
103,Миронов Фёдор Григорьевич,29-11-1999,Кузьмина Айлин Степановна,29-09-1990,06-01-2020,1219
104,Мельников Арсений Данилович,17-08-1989,Смирнова Варвара Борисовна,10-03-1988,07-05-2023,1516
105,Волков Герман Степанович,07-11-1982,Васильева Анна Сергеевна,03-05-1990,08-01-2019,65
106,Петров Матвей Юрьевич,06-10-1984,Васильева Полина Михайловна,05-05-1990,09-02-2018,1551
107,Миронов Фёдор Григорьевич,21-02-1980,Седова София Игоревна,18-10-1991,22-12-2019,685
108,Егоров Максим Даниилович,13-04-1981,Крылова Елизавета Владиславовна,20-03-1997,26-03-2021,1257
109,Муратов Вячеслав Дмитриевич,27-09-1984,Комарова Мария Михайловна,16-06-1983,09-05-2020,1961
110,Ильин Матвей Максимович,15-02-1995,Колесникова Злата Никитична,22-06-1989,18-11-2023,119
111,Ильин Матвей Максимович,12-05-1993,Павлова Агата Савельевна,22-11-1980,21-05-2021,1553
112,Новиков Виктор Маркович,04-08-1996,Ершова София Максимовна,20-06-1991,29-05-2023,126
113,Михайлов Артём Андреевич,23-12-1983,Павлова Агата Савельевна,22-10-1997,05-07-2018,1551
114,Аникин Фёдор Степанович,02-06-1996,Кузнецова Ксения Вячеславовна,27-05-1988,21-12-2018,585
115,Хромов Кирилл Александрович,30-01-1982,Павловская Вероника Владимировна,08-05-1996,23-02-2022,724
116,Смирнов Дамир Даниилович,30-04-1989,Смирнова Стефания Всеволодовна,10-06-1991,24-11-2023,1694
117,Федоров Вячеслав Юрьевич,21-10-1993,Алексеева Ульяна Тимофеевна,26-03-1998,13-10-2020,972
118,Соловьев Илья Денисович,26-02-1992,Борисова София Фёдоровна,16-06-1993,17-01-2020,690
119,Васильев Павел Артёмович,30-05-1983,Колесникова Злата Никитична,14-07-1992,08-12-2021,1551
120,Власов Денис Степанович,16-11-1996,Трофимова Ангелина Матвеевна,08-09-1995,10-01-2023,429
121,Новиков Виктор Маркович,30-08-1981,Иванова Дарья Сергеевна,01-03-1980,26-05-2018,1067
122,Кононов Виктор Максимович,10-01-1992,Васильева Полина Михайловна,10-08-1985,24-03-2022,1938
123,Круглов Роман Максимович,03-09-1991,Степанова Екатерина Владимировна,09-09-1992,22-03-2019,1021
124,Константинов Артемий Викторович,16-09-1994,Панина Таисия Денисовна,06-10-1993,25-07-2018,1619
125,Миронов Фёдор Григорьевич,15-12-1998,Алексеева Ульяна Тимофеевна,14-06-1982,20-10-2022,1692
126,Яковлев Даниил Георгиевич,20-08-1997,Нечаева Алёна Александровна,15-02-1983,28-08-2021,923
127,Данилов Владимир Егорович,22-11-1996,Васильева Полина Михайловна,10-10-1986,05-09-2023,1993
128,Смирнов Матвей Максимович,14-11-1992,Дроздова Марина Михайловна,10-10-1996,29-12-2018,1778
129,Смирнов Дамир Даниилович,09-05-1992,Зайцева Вероника Саввична,23-06-1980,08-11-2019,719
130,Беляков Матвей Егорович,01-01-1989,Борисова София Фёдоровна,06-10-1999,14-03-2023,1784
131,Пименов Демид Валерьевич,15-03-1986,Кочеткова Полина Робертовна,11-03-1993,09-12-2020,960
132,Петров Матвей Юрьевич,22-02-1985,Дементьева Екатерина Лукинична,09-07-1988,29-08-2022,507
133,Осипов Максим Максимович,24-12-1986,Пахомова Майя Никитична,13-06-1993,13-11-2020,1751
134,Соловьев Илья Денисович,13-07-1999,Степанова Екатерина Владимировна,18-04-1991,20-11-2023,1876
135,Васильев Павел Артёмович,26-10-1990,Иванова Анна Григорьевна,01-04-1998,28-11-2023,1344
136,Крючков Алексей Васильевич,10-04-1992,Михайлова София Алексеевна,04-09-1990,03-09-2021,1640
137,Беляков Матвей Егорович,29-04-1986,Кочеткова Полина Робертовна,28-05-1987,15-10-2022,1814
138,Иванов Михаил Сергеевич,17-03-1998,Михайлова София Алексеевна,04-01-1983,08-05-2021,1511
139,Попов Вячеслав Михайлович,20-02-1980,Петрова Аделина Данииловна,12-10-1986,26-06-2019,1623
140,Верещагин Даниил Демидович,10-06-1994,Зайцева Ксения Артемьевна,23-05-1994,30-09-2018,615
141,Белоусов Фёдор Даниилович,18-04-1988,Андреева Варвара Арсентьевна,13-04-1986,22-08-2022,705
142,Герасимов Давид Петрович,21-01-1980,Маркова Мария Леоновна,31-03-1980,10-05-2021,580
143,Королев Владимир Даниилович,13-07-1993,Вишневская Алисия Андреевна,21-12-1997,03-12-2020,1980
144,Круглов Роман Максимович,16-06-1985,Нечаева Алёна Александровна,10-10-1992,06-06-2022,1265
145,Симонов Савва Дмитриевич,05-03-1980,Архипова Варвара Макаровна,07-10-1996,10-11-2018,321
146,Винокуров Кирилл Алиевич,04-01-1989,Суворова Стефания Артёмовна,18-09-1997,13-01-2022,1755
147,Степанов Андрей Григорьевич,02-07-1998,Павлова Агата Савельевна,06-01-1990,17-01-2018,585
148,Константинов Артемий Викторович,03-10-1983,Петровская Ева Егоровна,21-11-1988,20-04-2021,359
149,Винокуров Кирилл Алиевич,17-10-1999,Морозова Дарина Артёмовна,16-04-1998,18-02-2022,123
150,Колесов Адам Петрович,01-08-1991,Борисова Вероника Савельевна,28-02-1999,19-09-2022,1153
151,Степанов Андрей Григорьевич,19-02-1991,Емельянова Арина Артёмовна,27-12-1991,10-06-2021,1641
152,Кузнецов Михаил Демидович,13-05-1991,Тихомирова Ксения Львовна,13-11-1994,21-06-2023,1363
153,Осипов Дмитрий Платонович,30-04-1999,Кудряшова Полина Алиевна,02-11-1999,17-11-2021,728
154,Горшков Егор Артёмович,28-10-1988,Иванова Алиса Тихоновна,16-01-1995,14-07-2022,1926
155,Поликарпов Даниил Петрович,18-12-1998,Петровская Амира Тимофеевна,28-01-1992,07-11-2019,371
156,Соловьев Илья Денисович,20-05-1982,Ермакова Анастасия Павловна,14-02-1993,20-12-2023,997
157,Крючков Алексей Васильевич,25-02-1997,Смирнова Ясмина Ивановна,02-07-1987,30-10-2019,1175
158,Пименов Демид Валерьевич,06-04-1995,Пирогова Агата Ивановна,02-08-1980,30-09-2022,747
159,Шестаков Константин Степанович,27-01-1986,Зайцева Виктория Никитична,02-09-1986,31-10-2021,1700
160,Булгаков Иван Владимирович,08-08-1987,Алексеева Ульяна Тимофеевна,24-04-1982,02-11-2022,353
161,Левин Артемий Степанович,01-09-1998,Климова Александра Артемьевна,02-02-1991,08-04-2023,1522
162,Новиков Виктор Маркович,16-01-1984,Ершова София Максимовна,21-07-1987,19-08-2022,905
163,Воронин Савелий Иванович,28-01-1990,Рябова Елизавета Владимировна,02-05-1991,08-04-2018,80
164,Егоров Максим Даниилович,05-05-1980,Вавилова Маргарита Никитична,21-10-1994,03-04-2020,1282
165,Герасимов Давид Петрович,15-10-1982,Старостина Ульяна Даниэльевна,10-01-1988,22-11-2022,743
166,Пименов Демид Валерьевич,28-07-1994,Борисова София Фёдоровна,01-09-1989,08-08-2020,658
167,Булгаков Иван Владимирович,04-08-1994,Лукина Арина Кирилловна,16-09-1994,19-11-2021,91
168,Данилов Владимир Егорович,18-12-1993,Лукина Арина Кирилловна,06-02-1981,26-09-2021,1956
169,Константинов Артемий Викторович,19-12-1990,Смирнова Екатерина Михайловна,09-05-1985,27-07-2020,8
170,Гусев Богдан Александрович,10-03-1984,Кудряшова Полина Алиевна,24-03-1997,18-07-2023,394
171,Симонов Савва Дмитриевич,13-11-1991,Бабушкина Амина Давидовна,08-07-1988,14-03-2021,307
172,Крючков Алексей Васильевич,18-11-1996,Ильина Вероника Олеговна,18-04-1991,13-09-2020,947
173,Ефремов Дмитрий Всеволодович,17-10-1998,Самсонова Виктория Степановна,25-09-1996,03-07-2019,878
174,Ширяев Кирилл Ильич,01-03-1996,Панина Таисия Денисовна,19-08-1998,30-04-2020,1100
175,Корчагин Даниил Борисович,03-05-1999,Лебедева Мария Егоровна,13-07-1980,17-07-2023,1158
176,Гусев Станислав Викторович,22-11-1983,Князева Валерия Ивановна,30-01-1985,22-07-2022,1249
177,Фетисов Кирилл Артемьевич,02-09-1998,Седова София Игоревна,23-09-1986,31-08-2023,1045
178,Васильев Егор Тимофеевич,18-09-1982,Ершова София Максимовна,06-04-1991,13-09-2020,1704
179,Круглов Роман Максимович,05-06-1994,Комарова Мария Михайловна,06-07-1998,13-12-2020,137
180,Филатов Лука Андреевич,11-04-1986,Бабушкина Амина Давидовна,19-06-1985,26-10-2018,552
181,Осипов Максим Максимович,17-12-1993,Михайлова София Алексеевна,02-11-1983,16-12-2019,301
182,Смирнов Степан Константинович,28-05-1985,Ильина Вероника Олеговна,07-11-1992,22-08-2022,1884
183,Фетисов Кирилл Артемьевич,02-12-1999,Суворова Стефания Артёмовна,28-09-1988,23-07-2020,1796
184,Попов Степан Кириллович,20-05-1998,Семенова Анна Кирилловна,25-02-1992,20-05-2020,908
185,Казанцев Марк Назарович,10-02-1996,Борисова София Фёдоровна,10-10-1995,19-01-2019,1348
186,Гусев Богдан Александрович,20-06-1997,Бабушкина Амина Давидовна,13-06-1986,05-12-2023,1147
187,Смирнов Дамир Даниилович,10-04-1980,Комарова Мария Михайловна,28-04-1987,17-03-2023,1723
188,Новиков Андрей Денисович,08-06-1995,Климова Александра Артемьевна,01-02-1992,23-09-2023,1315
189,Волков Герман Степанович,01-10-1992,Розанова Виктория Кирилловна,11-04-1987,13-01-2023,1511
190,Князев Марк Вадимович,06-02-1990,Назарова Вероника Платоновна,16-01-1983,25-03-2019,581
191,Попов Вячеслав Михайлович,23-08-1982,Назарова Алина Михайловна,06-01-1995,22-08-2020,1148
192,Шестаков Константин Степанович,14-06-1981,Борисова София Фёдоровна,30-10-1995,05-08-2018,1123
193,Иванов Владимир Владиславович,31-10-1985,Алексеева Ульяна Тимофеевна,17-03-1984,17-09-2021,909
194,Давыдов Иван Матвеевич,30-03-1999,Кочеткова Полина Робертовна,09-01-1983,22-05-2023,966
195,Иванов Михаил Сергеевич,28-11-1992,Самойлова Дарина Кирилловна,30-01-1980,08-10-2020,1298
196,Казаков Марк Михайлович,14-08-1982,Розанова Виктория Кирилловна,21-07-1985,27-02-2023,124
197,Воронин Савелий Иванович,13-01-1998,Смирнова Ясмина Ивановна,21-10-1986,04-11-2018,924
198,Дегтярев Илья Тимофеевич,24-07-1981,Бабушкина Амина Давидовна,23-04-1989,18-03-2022,242
199,Сергеев Андрей Иванович,09-01-1986,Суворова Стефания Артёмовна,22-01-1989,20-04-2019,1167
200,Овчинников Владимир Алексеевич,01-08-1993,Седова София Игоревна,26-05-1987,19-09-2019,1131
201,Булгаков Иван Владимирович,20-05-1986,Васильева Полина Михайловна,01-08-1986,04-10-2022,1262
202,Молчанов Иван Максимович,26-01-1995,Павловская Вероника Владимировна,22-05-1989,28-09-2021,1246
203,Пантелеев Максим Алексеевич,05-02-1989,Смирнова Стефания Всеволодовна,05-01-1994,06-01-2022,493
204,Михайлов Артём Андреевич,13-02-1990,Колосова Виктория Дмитриевна,24-01-1995,19-09-2018,226
205,Соловьев Илья Денисович,02-04-1995,Смирнова Екатерина Михайловна,20-05-1994,08-04-2021,1977
206,Осипов Максим Максимович,16-05-1982,Алексеева Арина Матвеевна,05-11-1998,18-05-2019,1054
207,Новиков Андрей Денисович,10-07-1982,Васильева Анна Сергеевна,22-12-1984,09-11-2021,1538
208,Казанцев Марк Назарович,15-05-1986,Попова Вера Ивановна,08-04-1988,22-07-2018,1857
209,Молчанов Иван Максимович,01-01-1994,Савельева София Мироновна,06-06-1991,17-11-2021,901
210,Федоров Вячеслав Юрьевич,22-02-1998,Антипова София Игоревна,06-10-1982,02-03-2022,1750
211,Попов Степан Кириллович,20-04-1996,Вишневская Алисия Андреевна,04-07-1983,30-12-2022,583
212,Белоусов Фёдор Даниилович,27-09-1989,Андреева Варвара Арсентьевна,28-12-1985,04-03-2023,1983
213,Овчинников Владимир Алексеевич,17-09-1992,Дементьева Екатерина Никитична,06-02-1998,13-09-2021,504
214,Булгаков Иван Владимирович,18-05-1997,Пирогова Агата Ивановна,15-12-1996,20-09-2018,1243
215,Константинов Артемий Викторович,30-04-1990,Антипова София Игоревна,23-06-1991,26-05-2019,520
216,Шестаков Константин Степанович,11-11-1985,Петухова Алиса Алексеевна,13-12-1994,19-04-2018,1045
217,Ширяев Кирилл Ильич,06-07-1995,Тихомирова Ксения Львовна,16-05-1987,02-09-2019,540
218,Муравьев Тимур Андреевич,23-12-1995,Лобанова Полина Андреевна,13-10-1982,05-01-2021,1669
219,Поликарпов Даниил Петрович,04-03-1993,Дементьева Екатерина Никитична,26-05-1992,26-07-2023,1706
220,Сергеев Марк Алиевич,24-09-1985,Смирнова Стефания Всеволодовна,30-06-1982,18-11-2023,1087
221,Мельников Арсений Данилович,23-07-1987,Лукина Арина Кирилловна,12-05-1997,18-03-2021,1750
222,Миронов Фёдор Григорьевич,03-12-1983,Павлова Александра Ярославовна,10-03-1987,13-07-2021,1789
223,Поликарпов Даниил Петрович,28-02-1995,Нечаева Алёна Александровна,27-01-1997,21-02-2020,185
224,Романов Вячеслав Савельевич,14-04-1981,Григорьева Ксения Данииловна,18-08-1980,09-02-2019,101
225,Горбачев Александр Тихонович,12-11-1981,Смирнова Ясмина Ивановна,01-08-1982,21-12-2022,846
226,Казанцев Марк Назарович,16-03-1988,Назарова Вероника Платоновна,20-06-1989,10-11-2019,1584
227,Иванов Михаил Сергеевич,31-03-1998,Назарова Вероника Платоновна,17-10-1998,19-04-2022,404
228,Пименов Демид Валерьевич,31-05-1995,Добрынина Милана Данииловна,29-11-1988,26-09-2023,377
229,Смирнов Дамир Даниилович,22-01-1988,Емельянова Арина Артёмовна,06-06-1981,29-07-2020,1048
230,Васильев Павел Артёмович,29-03-1984,Бабушкина Амина Давидовна,11-10-1997,06-09-2021,468
231,Беляков Матвей Егорович,14-05-1994,Михеева Аделина Елисеевна,23-07-1989,03-10-2022,1309
232,Сергеев Марк Алиевич,23-04-1987,Нечаева Алёна Александровна,18-11-1984,27-09-2020,1354
233,Сергеев Андрей Иванович,15-02-1996,Смирнова Варвара Борисовна,11-04-1980,06-10-2020,1306
234,Яковлев Даниил Георгиевич,11-04-1998,Иванова Дарья Сергеевна,23-09-1996,19-12-2019,1498
235,Васильев Егор Тимофеевич,11-02-1981,Казакова Арина Александровна,02-09-1991,17-03-2023,556
236,Казанцев Марк Назарович,20-05-1987,Кузьмина Айлин Степановна,14-07-1998,30-11-2022,1623
237,Федоров Вячеслав Юрьевич,10-02-1999,Зайцева Виктория Никитична,13-12-1999,24-06-2019,536
238,Фомин Лев Александрович,07-06-1993,Савельева София Мироновна,11-07-1998,21-02-2018,1987
239,Корчагин Даниил Борисович,13-04-1995,Смирнова Стефания Всеволодовна,18-11-1993,09-09-2018,1431
240,Поликарпов Даниил Петрович,08-03-1999,Козлова Ясмина Михайловна,24-10-1989,06-09-2022,1872
241,Петров Матвей Юрьевич,05-08-1996,Морозова Ева Данииловна,28-09-1981,30-08-2020,745
242,Михайлов Артём Андреевич,27-04-1993,Зайцева Виктория Никитична,25-09-1985,22-09-2019,1920
243,Муратов Вячеслав Дмитриевич,30-04-1998,Козлова Ясмина Михайловна,19-04-1987,07-01-2018,1447
244,Винокуров Кирилл Алиевич,30-03-1982,Рябова Елизавета Владимировна,19-05-1998,28-03-2023,1216
245,Смирнов Степан Константинович,25-05-1991,Самойлова Дарина Кирилловна,20-05-1985,24-07-2018,1954
246,Степанов Андрей Григорьевич,02-05-1988,Петрова Юлия Никитична,15-07-1990,14-12-2023,910
247,Ефремов Дмитрий Всеволодович,17-12-1996,Комарова Мария Михайловна,31-07-1990,29-07-2020,1056
248,Попов Степан Кириллович,04-05-1995,Кузьмина Айлин Степановна,14-05-1997,14-04-2019,1798
249,Гусев Богдан Александрович,16-06-1993,Куликова Дарья Георгиевна,06-08-1999,26-06-2023,945
250,Дубинин Мирон Егорович,24-02-1999,Самсонова Виктория Степановна,19-11-1998,01-03-2022,443
251,Жуков Андрей Петрович,25-10-1995,Лукина Арина Кирилловна,29-09-1981,16-01-2021,356
252,Давыдов Иван Матвеевич,24-11-1995,Кудряшова Полина Алиевна,26-12-1984,28-07-2022,402
253,Князев Марк Вадимович,27-08-1982,Иванова Анна Григорьевна,29-08-1992,16-02-2023,315
254,Колесов Адам Петрович,28-02-1983,Богомолова Лидия Вячеславовна,10-10-1991,18-03-2019,1319
255,Поликарпов Даниил Петрович,08-05-1992,Колосова Виктория Дмитриевна,15-01-1991,21-03-2018,1587
256,Гусев Богдан Александрович,27-09-1980,Хромова Варвара Леоновна,06-05-1989,31-05-2020,243
257,Корчагин Даниил Борисович,07-07-1988,Розанова Виктория Кирилловна,13-11-1983,20-12-2019,509
