,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
30,Королев Владимир Даниилович,13-01-1991,Маркова Мария Леоновна,10-12-1994,04-08-2021,482
31,Казаков Марк Михайлович,10-09-1981,Петрова Аделина Данииловна,17-06-1993,22-06-2018,158
32,Овчинников Владимир Алексеевич,12-02-1989,Лукина Арина Кирилловна,11-04-1990,13-03-2022,77
33,Титов Артур Артёмович,09-10-1985,Зайцева Вероника Саввична,07-07-1984,21-04-2019,486
34,Михайлов Артём Андреевич,31-08-1990,Степанова Екатерина Владимировна,25-06-1986,19-11-2022,68
35,Петров Матвей Юрьевич,07-02-1986,Алексеева Ульяна Тимофеевна,20-05-1993,17-11-2023,382
36,Соловьев Илья Денисович,25-04-1986,Львова Дарина Марковна,15-03-1990,01-09-2019,242
37,Смирнов Дамир Даниилович,18-09-1983,Львова Дарина Марковна,27-08-1988,25-12-2019,412
38,Овчинников Владимир Алексеевич,05-03-1988,Дубова Ксения Алексеевна,23-10-1983,09-06-2023,318
39,Аникин Фёдор Степанович,01-06-1992,Назарова Вероника Платоновна,12-07-1995,08-03-2021,367
40,Федоров Вячеслав Юрьевич,21-07-1982,Хромова Варвара Леоновна,01-11-1990,24-08-2019,392
41,Герасимов Давид Петрович,18-11-1995,Львова Дарина Марковна,17-05-1994,19-01-2021,229
42,Елисеев Денис Никитич,27-06-1992,Смирнова Ясмина Ивановна,21-03-1985,03-11-2021,139
43,Смирнов Дамир Даниилович,06-05-1992,Дементьева Екатерина Никитична,18-04-1991,10-08-2018,266
44,Иванов Владимир Владиславович,19-06-1989,Пирогова Агата Ивановна,19-10-1990,21-01-2021,204
45,Волков Герман Степанович,25-07-1999,Князева Валерия Ивановна,12-05-1998,29-07-2022,500
46,Кононов Виктор Максимович,04-09-1997,Вишневская Алисия Андреевна,23-05-1996,24-06-2019,367
47,Яковлев Даниил Георгиевич,05-05-1990,Дементьева Екатерина Никитична,18-01-1980,06-11-2018,322
48,Муравьев Тимур Андреевич,12-03-1998,Антипова София Игоревна,19-09-1994,02-01-2020,99
49,Яковлев Даниил Георгиевич,04-11-1986,Самсонова Виктория Степановна,21-07-1999,11-08-2021,182
50,Булгаков Иван Владимирович,13-03-1998,Смирнова Дарья Леонидовна,19-08-1998,15-04-2023,8
51,Смирнов Матвей Максимович,29-08-1982,Петровская Амира Тимофеевна,18-10-1993,13-11-2018,263
52,Буров Дмитрий Лукич ,30-03-1982,Алексеева Арина Матвеевна,12-05-1988,26-03-2022,463
53,Жуков Андрей Петрович,07-10-1993,Назарова Алина Михайловна,13-05-1996,21-12-2018,299
54,Колесов Адам Петрович,19-08-1989,Михайлова София Алексеевна,13-02-1995,07-05-2020,330
55,Иванов Владимир Владиславович,28-12-1991,Ермакова Анастасия Павловна,06-04-1981,05-12-2019,212
56,Поликарпов Даниил Петрович,18-05-1988,Бабушкина Амина Давидовна,05-01-1990,26-02-2018,275
57,Иванов Михаил Сергеевич,14-11-1983,Петровская Ева Егоровна,01-09-1981,21-08-2023,479
58,Смирнов Степан Константинович,21-08-1981,Толкачева Софья Ивановна,22-09-1980,21-12-2019,333
59,Сергеев Андрей Иванович,27-08-1981,Дроздова Марина Михайловна,27-12-1984,27-07-2020,32
60,Соловьев Илья Денисович,04-02-1994,Петровская Ева Егоровна,20-03-1995,01-03-2023,186
61,Корнилов Олег Вадимович,21-10-1996,Козлова Ясмина Михайловна,10-05-1998,04-08-2021,310
62,Степанов Андрей Григорьевич,27-09-1993,Тихомирова Ксения Львовна,26-12-1988,13-12-2019,38
63,Попов Степан Кириллович,12-01-1996,Князева Валерия Ивановна,04-10-1992,04-04-2022,297
64,Дегтярев Илья Тимофеевич,02-06-1984,Павловская Вероника Владимировна,06-02-1999,12-06-2018,95
65,Ильин Матвей Максимович,17-07-1982,Кудряшова Полина Алиевна,10-12-1989,02-03-2020,90
66,Князев Марк Вадимович,14-06-1984,Лобанова Полина Андреевна,12-10-1989,25-02-2020,498
67,Овчинников Владимир Алексеевич,09-04-1994,Кудряшова Полина Алиевна,08-06-1991,28-12-2018,238
68,Макаров Тимур Артёмович,15-02-1994,Баранова Дарья Владимировна,16-03-1982,14-10-2022,431
69,Фетисов Кирилл Артемьевич,31-05-1998,Назарова Алина Михайловна,09-01-1987,03-08-2023,190
70,Королев Владимир Даниилович,28-03-1992,Головина Анисия Михайловна,28-02-1988,14-08-2019,498
71,Хромов Кирилл Александрович,14-05-1991,Смирнова Ясмина Ивановна,04-05-1988,28-11-2022,494
72,Буров Дмитрий Лукич ,23-11-1992,Мартынова Полина Ивановна,01-01-1984,01-07-2019,485
73,Медведев Артём Ярославович,02-11-1980,Петухова Алиса Алексеевна,20-06-1990,04-12-2019,141
74,Кочетков Андрей Леонидович,14-07-1980,Куликова Мелания Платоновна,03-06-1995,18-02-2020,375
75,Попов Вячеслав Михайлович,23-11-1999,Емельянова Арина Артёмовна,11-04-1990,28-08-2022,436
76,Беляков Матвей Егорович,30-08-1997,Макарова София Тимофеевна,05-07-1981,26-12-2021,428
77,Сергеев Марк Алиевич,04-04-1981,Дроздова Марина Михайловна,29-03-1980,05-09-2020,444
78,Симонов Савва Дмитриевич,20-09-1988,Павлова Александра Ярославовна,29-07-1999,03-05-2021,36
79,Попов Вячеслав Михайлович,10-04-1987,Старостина Ульяна Даниэльевна,02-03-1983,08-12-2021,440
80,Федоров Вячеслав Юрьевич,05-08-1996,Михайлова София Алексеевна,05-09-1989,30-06-2023,6
81,Шестаков Константин Степанович,29-07-1994,Казакова Арина Александровна,03-12-1992,27-02-2020,212
82,Поликарпов Даниил Петрович,31-03-1996,Крылова Елизавета Владиславовна,13-11-1982,20-12-2021,265
83,Титов Артур Артёмович,16-08-1982,Зайцева Вероника Саввична,11-05-1980,17-04-2020,250
84,Васильев Давид Тимофеевич,26-09-1990,Кудряшова Полина Алиевна,05-02-1987,28-05-2018,20
85,Калачев Всеволод Леонидович,28-08-1987,Петрова Юлия Никитична,15-09-1986,27-07-2020,490
86,Смирнов Дмитрий Григорьевич,30-03-1986,Колосова Виктория Дмитриевна,14-10-1986,02-11-2019,159
87,Жуков Андрей Петрович,19-12-1995,Иванова Анна Григорьевна,30-05-1993,16-07-2020,187
88,Ильин Матвей Максимович,23-08-1993,Кузина Полина Ильинична,18-07-1989,08-10-2018,367
89,Макаров Давид Артурович,29-04-1984,Иванова Алиса Тихоновна,01-02-1990,08-03-2022,449
90,Герасимов Давид Петрович,09-12-1987,Седова София Игоревна,29-09-1988,01-09-2022,345
91,Муратов Вячеслав Дмитриевич,08-06-1999,Лобанова Полина Андреевна,08-09-1981,26-07-2020,210
92,Аникин Фёдор Степанович,02-03-1991,Алексеева Ульяна Тимофеевна,31-03-1992,19-02-2023,114
93,Медведев Артём Ярославович,06-06-1993,Самсонова Виктория Степановна,11-12-1994,24-01-2023,179
94,Осипов Дмитрий Платонович,30-09-1993,Бабушкина Амина Давидовна,11-09-1988,21-08-2022,214
95,Левин Артемий Степанович,28-09-1986,Григорьева Алиса Марковна,02-09-1999,28-10-2019,102
96,Савельев Роман Михайлович,13-09-1981,Васильева Анна Сергеевна,15-11-1981,31-08-2020,417
97,Иванов Даниил Сергеевич,01-10-1999,Князева Валерия Ивановна,15-09-1985,02-06-2018,248
98,Белоусов Фёдор Даниилович,02-12-1995,Кузнецова Ксения Вячеславовна,17-12-1988,24-10-2022,193
99,Колесов Адам Петрович,11-12-1987,Колосова Виктория Дмитриевна,15-11-1996,21-03-2023,104
100,Макаров Давид Артурович,03-07-1987,Медведева София Ильинична,27-07-1992,18-02-2018,406
101,Власов Денис Степанович,31-05-1993,Назарова Ульяна Арсеновна,22-03-1983,23-06-2023,317
102,Сорокин Артём Даниилович,08-10-1987,Назарова Вероника Платоновна,21-09-1984,03-04-2018,481
103,Казанцев Марк Назарович,14-01-1999,Попова Вера Ивановна,09-03-1981,06-03-2020,30
104,Смирнов Дамир Даниилович,17-03-1984,Лебедева Мария Егоровна,02-10-1985,10-03-2019,436
105,Медведев Александр Платонович,08-12-1998,Хромова Варвара Леоновна,30-09-1991,02-01-2020,178
106,Герасимов Давид Петрович,27-05-1994,Дубова Ксения Алексеевна,30-07-1999,11-04-2023,132
107,Гусев Богдан Александрович,21-07-1984,Колесникова Злата Никитична,15-04-1994,15-05-2023,33
108,Медведев Артём Ярославович,13-04-1991,Кузнецова Ксения Вячеславовна,09-07-1984,17-08-2018,186
109,Осипов Дмитрий Платонович,01-03-1990,Розанова Виктория Кирилловна,24-06-1999,12-07-2021,70
110,Романов Вячеслав Савельевич,26-12-1988,Зайцева Ксения Артемьевна,20-12-1997,28-05-2020,207
111,Муратов Вячеслав Дмитриевич,11-12-1995,Колосова Виктория Дмитриевна,17-03-1981,14-10-2018,425
112,Жуков Андрей Петрович,22-10-1986,Григорьева Алиса Марковна,21-06-1997,30-04-2018,32
113,Винокуров Кирилл Алиевич,12-06-1991,Нечаева Алёна Александровна,24-04-1980,05-09-2020,473
114,Корчагин Даниил Борисович,20-05-1989,Павлова Агата Савельевна,02-06-1981,29-07-2022,384
115,Фомин Лев Александрович,28-05-1990,Кузина Полина Ильинична,11-06-1999,23-07-2021,98
116,Герасимов Давид Петрович,19-06-1991,Смирнова Дарья Леонидовна,01-10-1981,20-12-2023,143
117,Макаров Тимур Артёмович,18-12-1987,Алексеева Ульяна Тимофеевна,24-12-1987,09-04-2020,55
118,Смирнов Матвей Максимович,11-12-1987,Морозова Дарина Артёмовна,19-10-1995,30-06-2019,111
119,Родионов Михаил Дмитриевич,01-07-1988,Козлова Ясмина Михайловна,27-04-1982,11-08-2018,348
120,Пантелеев Максим Алексеевич,01-02-1991,Кошелева Эмилия Максимовна,27-03-1999,03-09-2018,209
121,Яковлев Даниил Георгиевич,07-04-1983,Седова София Игоревна,03-10-1993,05-02-2019,235
122,Царев Мартин Андреевич,22-06-1995,Петухова Алиса Алексеевна,11-01-1982,22-12-2022,200
123,Поликарпов Даниил Петрович,03-09-1984,Павловская Вероника Владимировна,14-06-1992,22-05-2020,329
124,Царев Мартин Андреевич,08-03-1980,Старостина Ульяна Даниэльевна,26-12-1990,13-02-2019,271
125,Смирнов Лев Михайлович,29-10-1990,Назарова Вероника Платоновна,08-09-1980,01-02-2020,194
126,Волков Герман Степанович,24-01-1991,Тихомирова Ксения Львовна,11-03-1985,01-02-2023,261
127,Титов Артур Артёмович,21-03-1999,Андреева Варвара Арсентьевна,21-12-1987,26-12-2021,400
128,Ильин Матвей Максимович,11-12-1989,Князева Валерия Ивановна,20-07-1990,30-08-2018,362
129,Смирнов Степан Константинович,15-07-1993,Григорьева Ксения Данииловна,29-04-1985,10-03-2022,366
130,Воробьев Савва Павлович,03-02-1990,Иванова Дарья Сергеевна,11-12-1983,20-04-2020,177
131,Власов Андрей Семёнович,20-06-1990,Вавилова Маргарита Никитична,06-03-1998,18-03-2021,365
132,Новиков Андрей Денисович,02-04-1998,Попова Вера Ивановна,16-01-1995,20-10-2022,339
133,Иванов Михаил Сергеевич,03-04-1983,Лобанова Полина Андреевна,18-11-1986,06-03-2020,396
134,Миронов Фёдор Григорьевич,20-01-1986,Пирогова Агата Ивановна,18-03-1989,28-01-2022,459
135,Родионов Михаил Дмитриевич,26-02-1984,Михайлова София Алексеевна,30-12-1992,03-01-2020,271
136,Белов Евгений Артёмович,04-09-1993,Козлова Мария Алексеевна,11-09-1991,11-09-2022,236
137,Ефремов Дмитрий Всеволодович,09-06-1981,Лебедева Мария Егоровна,27-03-1987,06-12-2023,90
138,Королев Владимир Даниилович,20-08-1995,Алексеева Ульяна Тимофеевна,21-02-1992,16-05-2019,58
139,Дмитриев Тимофей Михайлович,11-05-1999,Степанова Екатерина Владимировна,28-05-1982,16-11-2021,292
140,Казаков Марк Михайлович,29-03-1995,Макарова София Тимофеевна,13-03-1996,30-07-2023,50
141,Макаров Тимур Артёмович,13-05-1986,Крылова Елизавета Владиславовна,18-05-1989,09-04-2023,205
142,Волков Герман Степанович,23-08-1982,Комарова Мария Михайловна,20-04-1995,02-04-2018,367
143,Дубинин Мирон Егорович,12-09-1994,Львова Дарина Марковна,16-11-1987,21-05-2018,382
144,Гусев Богдан Александрович,26-07-1996,Назарова Алина Михайловна,03-04-1996,03-08-2023,478
145,Овчинников Владимир Алексеевич,11-11-1987,Пахомова Майя Никитична,17-07-1998,14-12-2019,439
146,Горшков Егор Артёмович,03-12-1987,Кононова Алина Георгиевна,30-05-1985,29-10-2020,373
147,Калачев Всеволод Леонидович,09-06-1997,Савельева София Мироновна,13-11-1984,21-03-2023,6
148,Калачев Всеволод Леонидович,05-01-1982,Петровская Амира Тимофеевна,06-08-1999,14-09-2021,460
149,Елисеев Денис Никитич,21-10-1997,Степанова Екатерина Владимировна,22-08-1998,10-08-2022,166
150,Степанов Андрей Григорьевич,23-08-1996,Климова Александра Артемьевна,18-12-1997,12-12-2023,405
151,Попов Вячеслав Михайлович,15-04-1997,Медведева София Ильинична,27-05-1998,12-12-2018,294
152,Пантелеев Максим Алексеевич,08-01-1997,Петровская Амира Тимофеевна,04-10-1985,21-01-2019,424
153,Елисеев Денис Никитич,30-07-1984,Емельянова Арина Артёмовна,01-01-1982,14-03-2019,144
154,Пантелеев Максим Алексеевич,26-09-1999,Петрова Аделина Данииловна,29-06-1991,19-06-2022,495
155,Петров Матвей Юрьевич,18-01-1983,Ермакова Анастасия Павловна,02-08-1991,21-12-2018,424
156,Суворов Матвей Богданович,06-03-1991,Нечаева Алёна Александровна,02-03-1993,29-01-2022,356
157,Степанов Андрей Григорьевич,21-12-1988,Медведева София Ильинична,20-08-1990,09-06-2019,408
158,Константинов Артемий Викторович,29-01-1999,Хромова Варвара Леоновна,21-09-1980,16-12-2022,496
159,Иванов Владимир Владиславович,17-03-1996,Мартынова Полина Ивановна,30-05-1980,25-06-2021,425
160,Васильев Егор Тимофеевич,07-01-1984,Толкачева Софья Ивановна,23-04-1999,24-08-2021,392
161,Попов Степан Кириллович,01-02-1987,Степанова Екатерина Владимировна,17-09-1981,28-10-2019,368
162,Царев Мартин Андреевич,02-12-1996,Зайцева Ксения Артемьевна,06-08-1987,09-09-2021,365
163,Жуков Андрей Петрович,09-06-1987,Хромова Варвара Леоновна,20-04-1992,23-10-2022,385
164,Корнилов Олег Вадимович,14-02-1985,Добрынина Милана Данииловна,12-05-1998,07-07-2021,270
165,Царев Мартин Андреевич,12-08-1998,Кузнецова Ксения Вячеславовна,24-04-1986,18-08-2018,69
166,Сергеев Марк Алиевич,05-03-1990,Колосова Виктория Дмитриевна,21-06-1990,12-09-2020,396
167,Соловьев Илья Денисович,11-05-1986,Григорьева Ксения Данииловна,16-04-1982,27-04-2018,222
168,Кононов Виктор Максимович,23-01-1994,Колосова Виктория Дмитриевна,30-03-1984,12-09-2021,312
169,Князев Марк Вадимович,16-06-1998,Козлова Ясмина Михайловна,14-10-1983,06-09-2019,121
170,Данилов Владимир Егорович,31-10-1981,Петухова Алиса Алексеевна,07-01-1987,03-01-2018,112
171,Горбачев Александр Тихонович,10-08-1993,Добрынина Милана Данииловна,27-08-1983,02-09-2022,292
172,Васильев Егор Тимофеевич,09-03-1980,Самсонова Виктория Степановна,07-05-1999,02-09-2019,471
173,Смирнов Дмитрий Григорьевич,14-01-1997,Трофимова Ангелина Матвеевна,12-09-1980,10-12-2021,439
174,Осипов Дмитрий Платонович,27-05-1980,Смирнова Екатерина Михайловна,17-03-1986,25-07-2019,420
175,Воробьев Савва Павлович,24-09-1999,Алексеева Ульяна Тимофеевна,21-10-1999,26-06-2019,199
176,Симонов Савва Дмитриевич,22-09-1990,Нечаева Алёна Александровна,07-09-1994,20-06-2021,287
177,Смирнов Дамир Даниилович,25-04-1995,Васильева Анна Сергеевна,18-06-1984,24-02-2019,313
178,Васильев Давид Тимофеевич,14-05-1983,Крылова Елизавета Владиславовна,26-04-1992,07-08-2021,420
179,Филатов Лука Андреевич,16-03-1996,Кошелева Эмилия Максимовна,26-03-1982,25-03-2023,11
180,Макаров Давид Артурович,09-07-1989,Богомолова Лидия Вячеславовна,24-07-1997,19-03-2023,417
181,Крючков Алексей Васильевич,15-01-1991,Рябова Елизавета Владимировна,03-11-1983,14-09-2023,102
182,Федоров Вячеслав Юрьевич,04-08-1998,Смирнова Ясмина Ивановна,05-12-1985,10-12-2020,216
183,Герасимов Давид Петрович,17-12-1990,Васильева Полина Михайловна,26-07-1981,22-08-2020,85
184,Савельев Роман Михайлович,04-12-1987,Казакова Арина Александровна,06-12-1985,09-06-2018,342
185,Осипов Максим Максимович,25-08-1990,Толкачева Софья Ивановна,27-08-1988,22-01-2023,241
186,Смирнов Степан Константинович,11-12-1992,Назарова Ульяна Арсеновна,12-08-1986,02-01-2020,325
187,Егоров Максим Даниилович,30-10-1984,Назарова Ульяна Арсеновна,01-07-1989,18-11-2020,335
188,Дубинин Мирон Егорович,16-06-1988,Латышева Злата Михайловна,29-03-1991,04-07-2018,325
189,Сорокин Артём Даниилович,06-05-1987,Архипова Варвара Макаровна,04-05-1997,26-05-2019,122
190,Лебедев Тимур Максимович,14-12-1999,Комарова Мария Михайловна,02-04-1981,20-07-2022,208
191,Муравьев Тимур Андреевич,30-04-1995,Ершова София Максимовна,24-10-1998,06-11-2022,450
192,Корнилов Олег Вадимович,25-12-1982,Добрынина Милана Данииловна,16-03-1981,27-12-2021,473
193,Филатов Лука Андреевич,14-05-1993,Борисова София Фёдоровна,10-07-1985,27-05-2023,234
194,Попов Вячеслав Михайлович,01-10-1986,Иванова Анна Григорьевна,13-02-1996,30-06-2019,425
195,Новиков Виктор Маркович,02-03-1981,Алексеева Ульяна Тимофеевна,29-11-1984,23-02-2018,496
196,Иванов Даниил Сергеевич,07-02-1985,Пирогова Агата Ивановна,25-04-1986,11-10-2023,35
197,Иванов Иван Макарович,20-01-1989,Иванова Алиса Тихоновна,11-10-1980,24-12-2023,460
198,Симонов Савва Дмитриевич,08-08-1996,Крылова Елизавета Владиславовна,11-04-1999,09-05-2019,468
199,Кононов Виктор Максимович,02-08-1994,Ильина Вероника Олеговна,19-01-1988,02-12-2020,234
200,Винокуров Кирилл Алиевич,25-08-1984,Мартынова Полина Ивановна,01-04-1995,05-03-2022,152
201,Иванов Михаил Сергеевич,25-04-1995,Седова София Игоревна,30-10-1995,30-01-2023,81
202,Кузнецов Михаил Демидович,14-08-1990,Лебедева Мария Егоровна,26-08-1989,24-02-2018,300
203,Молчанов Иван Максимович,27-10-1993,Ершова София Максимовна,06-12-1992,05-02-2022,205
204,Миронов Фёдор Григорьевич,08-04-1984,Антипова София Игоревна,28-05-1992,11-03-2018,437
205,Сергеев Андрей Иванович,09-05-1996,Михеева Аделина Елисеевна,03-06-1980,30-04-2021,436
206,Гусев Богдан Александрович,07-10-1980,Лобанова Полина Андреевна,26-03-1997,12-11-2021,338
207,Сергеев Марк Алиевич,05-02-1985,Назарова Алина Михайловна,19-01-1999,17-05-2018,174
208,Соловьев Илья Денисович,07-02-1994,Николаева Алиса Григорьевна,29-08-1990,21-07-2019,417
209,Князев Марк Вадимович,28-01-1989,Петрова Аделина Данииловна,27-10-1984,26-05-2023,193
210,Царев Мартин Андреевич,01-01-1983,Павлова Александра Ярославовна,28-11-1998,18-04-2019,237
211,Колесов Адам Петрович,13-08-1982,Николаева Алиса Григорьевна,27-10-1980,16-08-2020,13
212,Поликарпов Даниил Петрович,07-10-1983,Крылова Елизавета Владиславовна,10-06-1980,10-01-2021,240
213,Белоусов Фёдор Даниилович,07-10-1989,Семенова Анна Кирилловна,17-11-1994,01-09-2023,417
214,Верещагин Даниил Демидович,16-03-1998,Кононова Алина Георгиевна,24-03-1987,30-04-2019,49
215,Михайлов Артём Андреевич,24-02-1988,Петрова Аделина Данииловна,08-01-1998,18-01-2022,291
216,Кузнецов Михаил Демидович,12-06-1997,Семенова Анна Кирилловна,22-08-1983,09-08-2021,420
217,Муравьев Тимур Андреевич,10-03-1999,Павлова Александра Ярославовна,17-02-1992,09-06-2023,323
218,Казанцев Марк Назарович,03-08-1980,Смирнова Стефания Всеволодовна,26-01-1988,07-02-2018,60
219,Смирнов Матвей Максимович,09-11-1999,Кузина Полина Ильинична,06-09-1985,12-07-2021,438
220,Муратов Вячеслав Дмитриевич,20-10-1998,Петрова Юлия Никитична,19-11-1990,07-11-2023,450
221,Ильин Матвей Максимович,21-04-1988,Петровская Амира Тимофеевна,04-06-1997,23-01-2019,432
222,Новиков Виктор Маркович,10-08-1986,Зайцева Вероника Саввична,01-10-1995,29-09-2020,478
223,Медведев Артём Ярославович,19-04-1986,Розанова Виктория Кирилловна,26-12-1999,25-02-2020,9
224,Федоров Вячеслав Юрьевич,21-11-1989,Зайцева Виктория Никитична,22-01-1986,21-03-2020,56
225,Ширяев Кирилл Ильич,11-12-1984,Трофимова Ангелина Матвеевна,17-03-1996,11-07-2023,81
226,Ильин Матвей Максимович,03-06-1996,Назарова Алина Михайловна,29-10-1983,20-02-2022,271
227,Фомин Лев Александрович,14-03-1990,Самсонова Виктория Степановна,09-12-1984,26-09-2019,21
228,Кононов Виктор Максимович,24-01-1982,Бабушкина Амина Давидовна,18-04-1983,06-06-2020,187
229,Миронов Фёдор Григорьевич,21-09-1990,Иванова Анна Григорьевна,13-04-1983,21-08-2019,278
230,Верещагин Даниил Демидович,10-01-1991,Козлова Ясмина Михайловна,12-07-1980,30-01-2019,47
231,Титов Артур Артёмович,22-08-1991,Козлова Ясмина Михайловна,23-09-1985,20-05-2023,281
232,Винокуров Кирилл Алиевич,29-06-1998,Добрынина Милана Данииловна,27-05-1982,23-12-2022,173
233,Пименов Демид Валерьевич,08-07-1999,Васильева Полина Михайловна,16-05-1986,09-11-2021,105
234,Смирнов Дамир Даниилович,04-09-1987,Смирнова Екатерина Михайловна,21-11-1983,02-11-2023,132
235,Елисеев Денис Никитич,22-02-1985,Петухова Алиса Алексеевна,11-05-1985,10-12-2019,33
236,Поликарпов Даниил Петрович,23-03-1982,Михайлова София Алексеевна,04-12-1984,19-09-2020,448
237,Дубинин Мирон Егорович,08-12-1989,Тихомирова Ксения Львовна,05-07-1988,29-09-2019,21
238,Муравьев Тимур Андреевич,01-08-1988,Морозова Дарина Артёмовна,01-05-1984,04-04-2019,332
239,Сергеев Марк Алиевич,02-06-1983,Григорьева Алиса Марковна,17-10-1988,02-09-2023,482
240,Попов Вячеслав Михайлович,05-02-1987,Маркова Мария Леоновна,29-10-1998,01-09-2022,154
241,Дегтярев Илья Тимофеевич,26-03-1983,Павлова Агата Савельевна,24-09-1999,15-05-2023,410
242,Степанов Андрей Григорьевич,15-12-1992,Лаврентьева Таисия Артёмовна,01-11-1996,09-03-2021,340
243,Осипов Максим Максимович,08-04-1988,Емельянова Арина Артёмовна,02-03-1986,30-01-2022,124
244,Осипов Дмитрий Платонович,26-03-1988,Старостина Ульяна Даниэльевна,20-03-1980,16-03-2020,47
245,Новиков Виктор Маркович,05-03-1988,Павлова Александра Ярославовна,11-09-1992,22-08-2018,252
246,Муратов Вячеслав Дмитриевич,16-11-1996,Морозова Ева Данииловна,24-05-1991,17-08-2018,447
247,Аникин Фёдор Степанович,30-12-1998,Смирнова Екатерина Михайловна,28-12-1997,17-02-2019,167
248,Беляков Матвей Егорович,12-12-1980,Лаврентьева Таисия Артёмовна,12-10-1994,18-09-2021,455
249,Иванов Владимир Владиславович,14-03-1986,Ермакова Анастасия Павловна,29-06-1981,09-04-2022,180
250,Смирнов Лев Михайлович,09-02-1985,Крылова Елизавета Владиславовна,01-06-1982,02-02-2021,14
251,Герасимов Давид Петрович,24-09-1982,Алексеева Ульяна Тимофеевна,16-08-1981,19-11-2023,144
252,Савельев Роман Михайлович,16-12-1992,Маркова Мария Леоновна,27-10-1996,21-02-2022,189
253,Константинов Артемий Викторович,04-01-1995,Комарова Мария Михайловна,11-01-1988,22-02-2018,491
254,Константинов Артемий Викторович,25-06-1987,Дубова Ксения Алексеевна,05-04-1982,29-09-2022,48
255,Винокуров Степан Николаевич,29-10-1987,Хромова Варвара Леоновна,02-08-1992,04-04-2019,27
256,Медведев Александр Платонович,19-09-1998,Кононова Алина Георгиевна,03-01-1998,24-04-2019,183
257,Власов Андрей Семёнович,12-04-1989,Лукина Арина Кирилловна,25-12-1990,22-09-2022,104
258,Кочетков Андрей Леонидович,05-10-1984,Кузьмина Айлин Степановна,26-12-1996,18-02-2018,153
259,Корчагин Даниил Борисович,06-09-1981,Медведева София Ильинична,18-03-1996,05-01-2022,221
