,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
20,Жуков Андрей Петрович,30-01-1989,Лобанова Полина Андреевна,16-05-1989,30-07-2023,9474
21,Шестаков Константин Степанович,30-09-1984,Маркова Мария Леоновна,17-01-1980,28-09-2018,2797
22,Макаров Давид Артурович,06-10-1997,Петрова Юлия Никитична,09-12-1990,05-06-2019,3012
23,Федоров Вячеслав Юрьевич,03-04-1988,Михайлова София Алексеевна,25-04-1991,02-11-2023,7914
24,Сорокин Артём Даниилович,23-05-1995,Пирогова Агата Ивановна,29-05-1985,13-06-2021,3722
25,Волков Герман Степанович,27-02-1988,Куликова Дарья Георгиевна,23-08-1987,24-04-2022,8294
26,Иванов Владимир Владиславович,14-01-1997,Львова Дарина Марковна,19-12-1983,27-01-2020,2577
27,Васильев Давид Тимофеевич,15-02-1995,Кудряшова Полина Алиевна,09-08-1997,02-09-2019,1818
28,Кочетков Андрей Леонидович,25-10-1984,Ильина Вероника Олеговна,24-06-1987,18-04-2021,8777
29,Попов Степан Кириллович,25-09-1998,Кузнецова Ксения Вячеславовна,17-07-1998,15-01-2021,9297
30,Гусев Станислав Викторович,24-02-1985,Лаврентьева Таисия Артёмовна,15-06-1993,15-12-2021,3135
31,Калачев Всеволод Леонидович,26-10-1986,Васильева Анна Сергеевна,18-08-1987,22-12-2021,8494
32,Титов Артур Артёмович,22-06-1996,Васильева Анна Сергеевна,19-08-1987,16-11-2023,8704
33,Князев Марк Вадимович,11-08-1988,Ермакова Анастасия Павловна,02-08-1990,28-12-2020,2693
34,Михайлов Артём Андреевич,19-03-1987,Козлова Ясмина Михайловна,22-06-1993,21-04-2022,6652
35,Федоров Вячеслав Юрьевич,24-09-1988,Суворова Стефания Артёмовна,12-04-1990,26-08-2022,6767
36,Иванов Владимир Владиславович,23-12-1997,Рябова Елизавета Владимировна,13-09-1988,01-03-2018,108
37,Яковлев Даниил Георгиевич,17-05-1996,Семенова Анна Кирилловна,05-03-1984,21-07-2022,2881
38,Дегтярев Илья Тимофеевич,23-07-1993,Назарова Ульяна Арсеновна,09-10-1982,31-10-2023,4351
39,Новиков Виктор Маркович,02-08-1990,Бабушкина Амина Давидовна,03-07-1983,20-09-2022,838
40,Васильев Павел Артёмович,14-06-1999,Михайлова София Алексеевна,12-05-1985,09-03-2022,3316
41,Родионов Михаил Дмитриевич,08-02-1995,Маркова Мария Леоновна,05-08-1990,16-06-2022,3646
42,Смирнов Лев Михайлович,08-05-1980,Павлова Агата Савельевна,22-05-1986,07-12-2022,5261
43,Корнилов Олег Вадимович,08-08-1998,Савельева София Мироновна,10-05-1993,29-08-2018,2306
44,Ширяев Кирилл Ильич,07-10-1997,Петровская Амира Тимофеевна,01-08-1991,03-04-2022,7070
45,Константинов Артемий Викторович,20-01-1998,Назарова Алина Михайловна,19-07-1997,31-01-2022,8452
46,Давыдов Иван Матвеевич,04-05-1981,Михеева Аделина Елисеевна,26-11-1989,29-11-2020,5781
47,Константинов Артемий Викторович,02-08-1988,Иванова Дарья Сергеевна,09-11-1981,27-08-2018,1157
48,Белоусов Фёдор Даниилович,25-02-1991,Пирогова Агата Ивановна,28-08-1993,02-11-2020,7350
49,Смирнов Дмитрий Григорьевич,27-08-1997,Смирнова Стефания Всеволодовна,01-08-1989,08-01-2022,949
50,Смирнов Лев Михайлович,01-12-1985,Самойлова Дарина Кирилловна,14-04-1995,05-09-2023,1461
51,Ефремов Дмитрий Всеволодович,01-02-1983,Куликова Мелания Платоновна,28-09-1991,14-06-2019,8371
52,Кузнецов Михаил Демидович,23-09-1986,Вавилова Маргарита Никитична,15-04-1992,21-02-2021,4452
53,Фетисов Кирилл Артемьевич,05-02-1984,Петухова Алиса Алексеевна,03-05-1995,08-04-2022,4306
54,Калачев Всеволод Леонидович,06-10-1980,Маркова Мария Леоновна,16-01-1993,16-06-2021,6871
55,Круглов Роман Максимович,07-02-1990,Куликова Мелания Платоновна,15-07-1993,22-07-2021,7720
56,Кононов Виктор Максимович,30-12-1991,Алексеева Ульяна Тимофеевна,16-02-1996,15-06-2021,7349
57,Кочетков Андрей Леонидович,29-04-1990,Панина Таисия Денисовна,11-10-1988,02-04-2020,1325
58,Кочетков Андрей Леонидович,17-10-1986,Смирнова Екатерина Михайловна,03-02-1991,21-10-2020,2390
59,Крючков Алексей Васильевич,07-09-1984,Петровская Амира Тимофеевна,10-12-1988,19-07-2019,2390
60,Шестаков Константин Степанович,19-11-1986,Бабушкина Амина Давидовна,20-03-1980,18-02-2018,9790
61,Колесов Адам Петрович,03-05-1983,Зайцева Вероника Саввична,09-04-1988,18-09-2021,7053
62,Симонов Савва Дмитриевич,10-09-1983,Суворова Стефания Артёмовна,16-11-1991,30-07-2022,5790
63,Корчагин Даниил Борисович,26-05-1981,Борисова София Фёдоровна,21-11-1988,26-02-2022,5719
64,Иванов Владимир Владиславович,22-08-1986,Архипова Варвара Макаровна,21-07-1991,17-06-2019,5217
65,Сорокин Артём Даниилович,10-04-1990,Толкачева Софья Ивановна,23-08-1987,13-08-2021,8284
66,Белоусов Фёдор Даниилович,22-08-1982,Григорьева Ксения Данииловна,19-07-1984,16-02-2023,8723
67,Пименов Демид Валерьевич,26-12-1984,Крылова Елизавета Владиславовна,10-12-1997,03-12-2020,208
68,Титов Артур Артёмович,31-08-1981,Кузнецова Ксения Вячеславовна,18-12-1986,26-11-2019,3656
69,Сергеев Андрей Иванович,31-01-1994,Семенова Анна Кирилловна,14-06-1980,08-12-2020,4380
70,Горшков Егор Артёмович,17-08-1992,Колосова Виктория Дмитриевна,06-06-1991,27-01-2019,3804
71,Егоров Максим Даниилович,02-07-1985,Маркова Мария Леоновна,24-03-1983,14-10-2023,7627
72,Смирнов Дамир Даниилович,27-07-1991,Павлова Александра Ярославовна,11-03-1990,27-10-2022,8156
73,Мельников Арсений Данилович,08-08-1997,Суворова Стефания Артёмовна,10-02-1986,18-09-2020,1084
74,Иванов Даниил Сергеевич,27-03-1997,Савельева София Мироновна,22-02-1989,07-10-2022,5565
75,Лебедев Тимур Максимович,25-06-1980,Николаева Алиса Григорьевна,25-09-1990,25-07-2020,8569
76,Корчагин Даниил Борисович,06-09-1981,Лобанова Полина Андреевна,18-08-1994,11-01-2023,993
77,Попов Степан Кириллович,11-09-1985,Пирогова Агата Ивановна,08-02-1995,15-01-2019,4999
78,Корчагин Даниил Борисович,07-12-1991,Андреева Варвара Арсентьевна,07-01-1980,12-06-2020,507
79,Федоров Вячеслав Юрьевич,30-07-1999,Григорьева Ксения Данииловна,17-12-1981,07-02-2020,8000
80,Жуков Андрей Петрович,10-06-1993,Павлова Агата Савельевна,11-10-1989,15-02-2019,5149
81,Сергеев Марк Алиевич,07-06-1992,Морозова Ева Данииловна,19-01-1983,23-05-2020,2211
82,Волков Герман Степанович,30-03-1996,Самойлова Дарина Кирилловна,14-02-1989,29-11-2021,6202
83,Воробьев Савва Павлович,23-08-1987,Лаврентьева Таисия Артёмовна,25-10-1991,27-07-2020,2751
84,Новиков Даниил Матвеевич,15-04-1998,Алексеева Ульяна Тимофеевна,08-11-1983,18-02-2020,1840
85,Молчанов Иван Максимович,10-02-1997,Иванова Алиса Тихоновна,16-05-1982,31-08-2020,1549
86,Иванов Иван Макарович,09-11-1997,Пирогова Агата Ивановна,25-06-1981,19-04-2023,2832
87,Белов Евгений Артёмович,19-09-1980,Назарова Вероника Платоновна,22-02-1982,13-05-2018,9771
88,Михайлов Артём Андреевич,07-10-1982,Морозова Дарина Артёмовна,14-01-1999,13-06-2020,7801
89,Горбачев Александр Тихонович,18-08-1991,Тихомирова Ксения Львовна,17-02-1990,10-04-2023,3380
90,Родионов Михаил Дмитриевич,08-01-1988,Емельянова Арина Артёмовна,11-05-1993,06-04-2022,8974
91,Беляков Матвей Егорович,01-09-1994,Головина Анисия Михайловна,11-11-1992,01-02-2019,7392
92,Константинов Артемий Викторович,17-04-1981,Назарова Ульяна Арсеновна,11-12-1987,09-12-2018,6388
93,Царев Мартин Андреевич,15-01-1989,Панина Таисия Денисовна,28-10-1993,05-01-2023,9962
94,Петров Матвей Юрьевич,18-04-1990,Лебедева Мария Егоровна,17-04-1989,16-08-2022,2725
95,Степанов Андрей Григорьевич,15-04-1989,Ершова София Максимовна,21-03-1980,12-12-2020,5690
96,Гусев Богдан Александрович,31-08-1998,Васильева Анна Сергеевна,17-09-1984,19-06-2019,556
97,Жуков Андрей Петрович,13-08-1982,Климова Александра Артемьевна,08-06-1996,20-02-2019,7529
98,Колесов Адам Петрович,06-04-1992,Рябова Елизавета Владимировна,03-05-1983,11-04-2020,9241
99,Горбачев Александр Тихонович,29-04-1980,Суворова Стефания Артёмовна,01-11-1988,06-04-2019,1205
100,Колесов Адам Петрович,06-08-1999,Павлова Агата Савельевна,01-12-1992,01-06-2019,6768
101,Власов Денис Степанович,02-07-1988,Смирнова Екатерина Михайловна,04-11-1997,13-07-2022,5943
102,Осипов Максим Максимович,18-12-1998,Маркова Мария Леоновна,25-11-1999,28-01-2019,2637
103,Данилов Владимир Егорович,03-02-1994,Дубова Ксения Алексеевна,22-04-1997,13-08-2023,2385
104,Круглов Роман Максимович,19-01-1995,Павлова Александра Ярославовна,27-05-1989,30-01-2022,2379
105,Винокуров Степан Николаевич,22-11-1997,Крылова Елизавета Владиславовна,12-08-1991,22-08-2018,8375
106,Смирнов Дамир Даниилович,24-08-1989,Михайлова София Алексеевна,24-04-1993,06-06-2022,132
107,Макаров Тимур Артёмович,22-10-1980,Лебедева Мария Егоровна,20-12-1994,06-09-2019,4212
108,Макаров Тимур Артёмович,25-06-1985,Пахомова Майя Никитична,14-09-1986,11-02-2020,9799
109,Осипов Максим Максимович,24-01-1995,Смирнова Екатерина Михайловна,20-10-1999,19-01-2020,8058
110,Ефремов Дмитрий Всеволодович,25-12-1994,Кошелева Эмилия Максимовна,26-07-1981,03-12-2023,2680
111,Новиков Виктор Маркович,19-07-1985,Смирнова Ясмина Ивановна,15-05-1994,23-04-2022,1799
112,Савельев Роман Михайлович,24-06-1997,Морозова Ева Данииловна,13-07-1995,04-12-2019,9567
113,Хромов Кирилл Александрович,20-12-1997,Степанова Екатерина Владимировна,15-05-1998,25-10-2018,2833
114,Королев Владимир Даниилович,04-10-1984,Вавилова Маргарита Никитична,05-05-1999,03-04-2019,818
115,Миронов Фёдор Григорьевич,16-03-1983,Рябова Елизавета Владимировна,27-05-1997,08-10-2023,5224
116,Смирнов Дамир Даниилович,22-09-1992,Павлова Агата Савельевна,15-05-1993,04-02-2022,2306
117,Макаров Давид Артурович,31-01-1992,Кузина Полина Ильинична,18-07-1989,16-07-2023,9702
118,Сергеев Марк Алиевич,23-01-1982,Михайлова София Алексеевна,18-01-1994,06-04-2023,2045
119,Колесов Адам Петрович,08-06-1995,Ермакова Анастасия Павловна,06-09-1981,06-05-2021,6266
120,Беляков Матвей Егорович,16-11-1999,Дроздова Марина Михайловна,31-01-1992,07-06-2019,8628
121,Левин Артемий Степанович,01-03-1995,Иванова Алиса Тихоновна,14-04-1981,13-11-2021,2349
122,Осипов Максим Максимович,20-07-1987,Смирнова Ясмина Ивановна,05-05-1992,03-08-2018,9692
123,Ширяев Кирилл Ильич,29-10-1981,Морозова Ева Данииловна,14-03-1993,17-06-2023,676
124,Медведев Артём Ярославович,13-08-1983,Павлова Александра Ярославовна,22-10-1999,12-05-2021,2011
125,Сергеев Андрей Иванович,11-07-1992,Андреева Варвара Арсентьевна,17-02-1984,24-06-2022,7269
126,Горшков Егор Артёмович,21-03-1989,Васильева Полина Михайловна,08-05-1998,14-08-2021,9832
127,Константинов Артемий Викторович,15-11-1983,Николаева Алиса Григорьевна,10-12-1998,11-10-2023,6334
128,Савельев Роман Михайлович,10-08-1999,Кочеткова Полина Робертовна,20-07-1984,18-06-2022,1308
129,Белов Евгений Артёмович,04-03-1999,Макарова София Тимофеевна,30-03-1989,15-05-2022,6932
130,Миронов Фёдор Григорьевич,14-09-1984,Петрова Юлия Никитична,09-03-1982,08-04-2018,9807
131,Новиков Виктор Маркович,08-07-1992,Тихомирова Ксения Львовна,20-06-1984,14-12-2022,8815
132,Кузнецов Михаил Демидович,31-01-1991,Вишневская Алисия Андреевна,18-01-1990,06-09-2023,8293
133,Соловьев Илья Денисович,09-12-1991,Бабушкина Амина Давидовна,10-12-1993,28-02-2018,4848
134,Дубинин Мирон Егорович,02-09-1995,Кузина Полина Ильинична,30-09-1988,21-06-2022,759
135,Елисеев Денис Никитич,08-01-1981,Дементьева Екатерина Никитична,20-06-1980,24-03-2018,4076
136,Горшков Егор Артёмович,06-10-1987,Ильина Вероника Олеговна,27-01-1982,22-06-2020,6091
137,Ширяев Кирилл Ильич,26-01-1994,Трофимова Ангелина Матвеевна,23-01-1985,12-07-2021,308
138,Кузнецов Михаил Демидович,02-09-1993,Михеева Аделина Елисеевна,14-10-1996,15-10-2019,9387
139,Михайлов Артём Андреевич,02-09-1988,Антипова София Игоревна,03-04-1991,26-08-2022,1969
140,Титов Артур Артёмович,07-09-1984,Петрова Юлия Никитична,04-07-1998,24-07-2020,3177
141,Михайлов Артём Андреевич,08-06-1983,Князева Валерия Ивановна,22-10-1993,04-05-2022,9269
142,Буров Дмитрий Лукич ,03-03-1982,Куликова Дарья Георгиевна,09-09-1987,11-11-2018,3076
143,Кузнецов Михаил Демидович,09-05-1981,Тихомирова Ксения Львовна,22-08-1985,17-03-2021,5313
144,Поликарпов Даниил Петрович,24-03-1991,Дроздова Марина Михайловна,21-01-1981,02-12-2018,7261
145,Иванов Владимир Владиславович,17-09-1987,Лаврентьева Таисия Артёмовна,20-07-1993,06-09-2021,8107
146,Муратов Вячеслав Дмитриевич,21-02-1993,Львова Дарина Марковна,03-11-1994,04-05-2019,7637
147,Фетисов Кирилл Артемьевич,02-08-1985,Михеева Аделина Елисеевна,28-01-1993,19-09-2018,9936
148,Титов Артур Артёмович,20-04-1989,Смирнова Стефания Всеволодовна,19-05-1998,25-03-2019,5791
149,Васильев Егор Тимофеевич,09-12-1981,Иванова Дарья Сергеевна,17-01-1984,22-03-2020,6012
150,Верещагин Даниил Демидович,21-12-1996,Добрынина Милана Данииловна,16-01-1996,24-11-2018,9072
151,Беляков Матвей Егорович,01-03-1985,Старостина Ульяна Даниэльевна,05-03-1982,04-12-2023,6298
152,Хромов Кирилл Александрович,10-05-1999,Морозова Ева Данииловна,15-06-1992,27-08-2020,746
153,Иванов Иван Макарович,05-04-1996,Нечаева Алёна Александровна,30-11-1989,19-07-2019,3907
154,Савельев Роман Михайлович,17-08-1990,Михайлова София Алексеевна,17-03-1998,16-03-2019,6481
155,Воронин Савелий Иванович,23-07-1980,Толкачева Софья Ивановна,24-04-1984,20-12-2021,8179
156,Степанов Андрей Григорьевич,09-03-1985,Степанова Екатерина Владимировна,01-01-1996,01-11-2018,466
157,Сергеев Андрей Иванович,03-12-1983,Иванова Дарья Сергеевна,16-04-1997,29-01-2020,5082
158,Константинов Артемий Викторович,13-03-1998,Лукина Арина Кирилловна,15-08-1995,08-08-2019,7642
159,Винокуров Степан Николаевич,13-04-1998,Павлова Агата Савельевна,27-01-1990,18-07-2018,3843
160,Гусев Станислав Викторович,29-05-1985,Комарова Мария Михайловна,14-09-1981,14-03-2020,8855
161,Фомин Лев Александрович,16-04-1988,Климова Александра Артемьевна,19-01-1984,12-04-2022,32
162,Винокуров Кирилл Алиевич,09-07-1998,Кочеткова Полина Робертовна,28-06-1981,23-08-2021,7191
163,Калачев Всеволод Леонидович,27-11-1985,Степанова Екатерина Владимировна,31-01-1985,24-08-2020,1514
164,Новиков Виктор Маркович,15-01-1996,Ермакова Анастасия Павловна,01-05-1983,28-06-2019,8706
165,Дмитриев Тимофей Михайлович,22-09-1993,Ершова София Максимовна,21-02-1999,04-07-2022,4028
166,Филатов Лука Андреевич,01-05-1999,Самсонова Виктория Степановна,11-05-1996,13-06-2018,7325
167,Корчагин Даниил Борисович,22-04-1996,Медведева София Ильинична,18-12-1999,05-11-2019,1985
168,Иванов Даниил Сергеевич,12-09-1994,Павловская Вероника Владимировна,30-04-1987,10-10-2023,2953
169,Колесов Адам Петрович,23-03-1986,Павлова Александра Ярославовна,28-10-1995,05-11-2023,6047
170,Степанов Андрей Григорьевич,04-06-1996,Кудряшова Полина Алиевна,20-04-1983,09-08-2023,6215
171,Макаров Давид Артурович,30-12-1981,Вишневская Алисия Андреевна,25-07-1996,02-10-2020,5831
172,Кононов Виктор Максимович,11-04-1995,Кузьмина Айлин Степановна,20-08-1994,18-01-2021,2601
173,Смирнов Степан Константинович,12-11-1984,Маркова Мария Леоновна,22-03-1999,27-02-2019,143
174,Белов Евгений Артёмович,22-12-1990,Старостина Ульяна Даниэльевна,07-06-1996,17-05-2023,5435
175,Суворов Матвей Богданович,04-01-1999,Бабушкина Амина Давидовна,15-06-1983,16-12-2018,6748
176,Лебедев Тимур Максимович,14-03-1990,Лебедева Мария Егоровна,29-08-1980,03-02-2023,5710
177,Казаков Марк Михайлович,25-03-1986,Баранова Дарья Владимировна,21-01-1992,01-01-2020,6602
178,Осипов Максим Максимович,29-01-1995,Петрова Аделина Данииловна,27-11-1980,28-08-2018,3162
179,Титов Артур Артёмович,15-10-1987,Зайцева Ксения Артемьевна,04-09-1996,26-04-2023,5419
180,Сергеев Марк Алиевич,20-10-1981,Смирнова Стефания Всеволодовна,27-01-1997,20-04-2023,643
181,Степанов Андрей Григорьевич,16-09-1988,Лукина Арина Кирилловна,05-07-1996,28-09-2018,957
182,Федоров Вячеслав Юрьевич,18-12-1997,Кузнецова Ксения Вячеславовна,08-06-1989,28-12-2023,3338
183,Пантелеев Максим Алексеевич,26-01-1990,Лобанова Полина Андреевна,27-12-1986,23-10-2021,6116
184,Филатов Лука Андреевич,19-01-1985,Иванова Алиса Тихоновна,03-02-1989,28-07-2018,3359
185,Беляков Матвей Егорович,04-12-1985,Назарова Алина Михайловна,17-05-1991,23-02-2020,3105
186,Власов Денис Степанович,18-07-1995,Дроздова Марина Михайловна,09-03-1983,31-01-2018,5241
187,Царев Мартин Андреевич,24-12-1987,Пирогова Агата Ивановна,16-05-1989,05-06-2019,2508
188,Егоров Максим Даниилович,11-10-1997,Баранова Дарья Владимировна,22-11-1999,24-12-2021,1315
189,Соловьев Илья Денисович,06-07-1985,Дементьева Екатерина Лукинична,09-04-1981,06-05-2018,5265
190,Новиков Даниил Матвеевич,17-03-1985,Смирнова Стефания Всеволодовна,02-09-1981,24-09-2020,2146
191,Константинов Артемий Викторович,30-12-1985,Кудряшова Полина Алиевна,09-09-1992,11-10-2022,2048
192,Пантелеев Максим Алексеевич,07-08-1985,Дроздова Марина Михайловна,21-09-1989,11-04-2023,7185
193,Князев Марк Вадимович,25-02-1996,Попова Вера Ивановна,28-07-1986,03-11-2021,4501
194,Филатов Лука Андреевич,28-05-1990,Пахомова Майя Никитична,12-02-1981,30-07-2022,7927
195,Мельников Арсений Данилович,11-08-1988,Мартынова Полина Ивановна,03-09-1989,05-05-2021,3079
196,Соловьев Илья Денисович,22-02-1994,Вавилова Маргарита Никитична,11-12-1991,23-09-2023,9157
197,Попов Степан Кириллович,28-08-1989,Смирнова Екатерина Михайловна,12-10-1995,27-01-2021,6059
198,Новиков Андрей Денисович,20-11-1988,Куликова Дарья Георгиевна,23-03-1980,16-06-2022,972
199,Жуков Андрей Петрович,26-07-1992,Емельянова Арина Артёмовна,01-02-1994,07-01-2022,4773
200,Попов Вячеслав Михайлович,26-07-1980,Борисова Вероника Савельевна,04-08-1987,08-11-2021,8606
201,Иванов Михаил Сергеевич,31-08-1991,Козлова Мария Алексеевна,14-03-1991,28-09-2020,8732
202,Титов Артур Артёмович,24-06-1980,Розанова Виктория Кирилловна,30-05-1994,22-08-2023,2560
203,Иванов Михаил Сергеевич,25-02-1980,Григорьева Алиса Марковна,06-06-1992,16-07-2021,2908
204,Мельников Арсений Данилович,22-08-1995,Лукина Арина Кирилловна,23-05-1987,09-02-2023,1511
205,Макаров Давид Артурович,26-11-1990,Колесникова Злата Никитична,19-06-1991,29-04-2023,4305
206,Князев Марк Вадимович,22-01-1990,Алексеева Ульяна Тимофеевна,30-08-1983,10-03-2022,3964
207,Медведев Артём Ярославович,23-07-1990,Седова София Игоревна,24-11-1989,02-01-2018,7241
208,Воронин Савелий Иванович,05-11-1994,Павлова Агата Савельевна,23-05-1996,27-08-2023,3754
209,Соловьев Илья Денисович,17-12-1988,Емельянова Арина Артёмовна,22-01-1981,23-09-2022,9136
210,Попов Степан Кириллович,09-08-1989,Лукина Арина Кирилловна,25-01-1982,29-12-2021,3891
211,Дубинин Мирон Егорович,28-08-1996,Кудряшова Полина Алиевна,25-05-1989,17-10-2021,2530
212,Макаров Давид Артурович,04-01-1982,Баранова Дарья Владимировна,05-05-1996,27-10-2020,6826
213,Дмитриев Тимофей Михайлович,29-10-1993,Хромова Варвара Леоновна,09-06-1982,16-06-2021,818
214,Казанцев Марк Назарович,17-02-1988,Кононова Алина Георгиевна,12-05-1980,11-05-2020,901
215,Кононов Виктор Максимович,22-12-1986,Морозова Дарина Артёмовна,17-02-1994,08-01-2018,2753
216,Винокуров Кирилл Алиевич,01-10-1990,Григорьева Алиса Марковна,07-09-1993,27-12-2023,6070
217,Сорокин Артём Даниилович,30-07-1991,Семенова Анна Кирилловна,30-08-1985,30-08-2020,3249
218,Медведев Александр Платонович,12-05-1987,Смирнова Стефания Всеволодовна,02-07-1992,05-06-2023,5583
219,Воронин Савелий Иванович,23-10-1992,Борисова София Фёдоровна,10-09-1981,27-09-2020,8919
220,Гусев Богдан Александрович,26-08-1981,Иванова Дарья Сергеевна,29-06-1981,04-03-2021,9633
221,Макаров Давид Артурович,24-06-1986,Куликова Мелания Платоновна,03-01-1995,26-05-2022,5198
222,Жуков Андрей Петрович,27-02-1984,Козлова Мария Алексеевна,03-09-1983,05-08-2022,7952
223,Овчинников Владимир Алексеевич,11-08-1996,Климова Александра Артемьевна,26-01-1987,13-01-2021,3900
224,Смирнов Дмитрий Григорьевич,15-02-1981,Павлова Агата Савельевна,24-07-1980,29-04-2023,5239
225,Королев Владимир Даниилович,09-03-1981,Казакова Арина Александровна,30-03-1984,18-05-2023,2322
226,Фомин Лев Александрович,29-12-1984,Баранова Дарья Владимировна,14-08-1999,23-06-2019,950
227,Ширяев Кирилл Ильич,19-03-1983,Борисова София Фёдоровна,28-02-1987,07-10-2020,2987
228,Фетисов Кирилл Артемьевич,01-03-1994,Добрынина Милана Данииловна,23-04-1998,28-07-2023,9442
229,Горшков Егор Артёмович,26-02-1988,Архипова Варвара Макаровна,15-10-1990,07-10-2021,495
230,Левин Артемий Степанович,26-06-1989,Петрова Юлия Никитична,15-09-1995,26-08-2018,2164
231,Буров Дмитрий Лукич ,22-06-1994,Антипова София Игоревна,07-11-1986,14-11-2018,1056
232,Михайлов Артём Андреевич,04-10-1993,Архипова Варвара Макаровна,03-09-1993,11-02-2019,9032
233,Лебедев Тимур Максимович,24-01-1993,Емельянова Арина Артёмовна,21-11-1985,03-03-2019,326
234,Гусев Богдан Александрович,21-02-1999,Суворова Стефания Артёмовна,09-06-1992,06-02-2021,4950
235,Титов Артур Артёмович,01-05-1990,Лобанова Полина Андреевна,07-04-1996,29-08-2021,6179
236,Ефремов Дмитрий Всеволодович,28-11-1980,Князева Валерия Ивановна,24-12-1999,12-10-2019,9961
237,Овчинников Владимир Алексеевич,28-04-1995,Розанова Виктория Кирилловна,07-11-1990,30-10-2018,5743
238,Власов Денис Степанович,31-07-1984,Ильина Вероника Олеговна,03-09-1993,07-03-2022,200
239,Левин Артемий Степанович,15-05-1995,Крылова Елизавета Владиславовна,21-09-1997,30-05-2021,5554
240,Фомин Лев Александрович,18-09-1989,Панина Таисия Денисовна,08-07-1998,24-02-2020,6620
241,Смирнов Лев Михайлович,14-01-1992,Львова Дарина Марковна,07-11-1980,18-11-2021,5785
242,Смирнов Степан Константинович,14-03-1985,Макарова София Тимофеевна,04-12-1989,13-07-2023,7280
243,Казанцев Марк Назарович,20-10-1992,Львова Дарина Марковна,17-11-1992,06-02-2022,4443
244,Горбачев Александр Тихонович,06-05-1996,Тихомирова Ксения Львовна,11-04-1991,28-05-2021,3271
245,Макаров Давид Артурович,23-02-1986,Ершова София Максимовна,05-09-1981,27-04-2020,4769
246,Шестаков Константин Степанович,17-04-1991,Старостина Ульяна Даниэльевна,02-05-1989,15-07-2020,4123
247,Миронов Фёдор Григорьевич,16-08-1982,Алексеева Арина Матвеевна,01-12-1989,23-05-2019,6409
248,Воронин Савелий Иванович,22-06-1996,Смирнова Екатерина Михайловна,21-03-1998,04-03-2019,9095
249,Ефремов Дмитрий Всеволодович,13-11-1989,Тихомирова Ксения Львовна,07-04-1986,27-03-2023,32
250,Степанов Андрей Григорьевич,27-01-1997,Кузьмина Айлин Степановна,20-10-1986,30-10-2018,4683
251,Иванов Даниил Сергеевич,21-06-1988,Зайцева Ксения Артемьевна,23-12-1993,08-06-2018,9878
252,Степанов Андрей Григорьевич,14-11-1982,Семенова Анна Кирилловна,26-07-1993,01-03-2021,724
253,Соловьев Илья Денисович,16-01-1982,Дубова Ксения Алексеевна,03-08-1995,13-11-2020,9333
254,Казанцев Марк Назарович,16-11-1983,Емельянова Арина Артёмовна,07-08-1992,16-02-2018,5719
255,Царев Мартин Андреевич,08-05-1994,Смирнова Дарья Леонидовна,18-04-1991,02-10-2021,9811
256,Федоров Вячеслав Юрьевич,27-10-1987,Смирнова Дарья Леонидовна,19-07-1986,08-11-2018,1472
